CNES,CODUFMUN,COD_CEP,CPF_CNPJ,PF_PJ,NIV_DEP,CNPJ_MAN,COD_IR,REGSAUDE,MICR_REG,DISTRSAN,DISTRADM,VINC_SUS,TPGESTAO,ESFERA_A,RETENCAO,ATIVIDAD,NATUREZA,CLIENTEL,TP_UNID,TURNO_AT,NIV_HIER,TERCEIRO,TP_PREST,GESPRG1E,GESPRG1M,GESPRG2E,GESPRG2M,GESPRG4E,GESPRG4M,NIVATE_A,GESPRG3E,GESPRG3M,GESPRG5E,GESPRG5M,GESPRG6E,GESPRG6M,NIVATE_H,AP01CV01,AP01CV02,AP01CV05,AP01CV06,AP01CV03,AP01CV04,AP01CV07,AP02CV01,AP02CV02,AP02CV05,AP02CV06,AP02CV03,AP02CV04,AP02CV07,AP03CV01,AP03CV02,AP03CV05,AP03CV06,AP03CV03,AP03CV04,AP03CV07,AP04CV01,AP04CV02,AP04CV05,AP04CV06,AP04CV03,AP04CV04,AP04CV07,AP05CV01,AP05CV02,AP05CV05,AP05CV06,AP05CV03,AP05CV04,AP05CV07,AP06CV01,AP06CV02,AP06CV05,AP06CV06,AP06CV03,AP06CV04,AP06CV07,AP07CV01,AP07CV02,AP07CV05,AP07CV06,AP07CV03,AP07CV04,AP07CV07,ATEND_PR,IDEQUIPE,TIPO_EQP,NOME_EQP,ID_AREA,NOMEAREA,ID_SEGM,DESCSEGM,TIPOSEGM,DT_ATIVA,DT_DESAT,QUILOMBO,ASSENTAD,POPGERAL,ESCOLA,INDIGENA,PRONASCI,MOTDESAT,TP_DESAT,COMPETEN,NAT_JUR
2380218,420005,89636000,00000000000000,3,3,78511052000110,,008,8ª,,7ª,1,M,,,04,,01,02,05,,,99,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420005000100399809,70,PSF,4200050001,PSF,42000502,RURAL,2,199601,900001,0,0,0,0,0,0,00,0,202202,1244
2380218,420005,89636000,00000000000000,3,3,78511052000110,,008,8ª,,7ª,1,M,,,04,,01,02,05,,,99,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420005000102036878,71,ESB JOSE MOCELIN,4200050001,PSF,42000502,RURAL,2,199601,900001,0,0,0,0,0,0,00,0,202202,1244
2380218,420005,89636000,00000000000000,3,3,78511052000110,,008,8ª,,7ª,1,M,,,04,,01,02,05,,,99,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420005000101561499,72,EQUIPE NASF,4200050001,PSF,42000502,RURAL,2,201510,900001,0,0,0,0,0,0,00,0,202202,1244
2410788,420010,89830000,00000000000000,3,3,83009886000161,,,,,0000,1,M,,,04,,01,02,03,,,99,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420010000102019396,71,USB ANGELA NARDINO BERTONCELO,4299999999,,42999999,,9,202006,900001,0,0,0,0,0,0,00,0,202202,1244
2410788,420010,89830000,00000000000000,3,3,83009886000161,,,,,0000,1,M,,,04,,01,02,03,,,99,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420010001800399817,70,ABELARDO LUZ (PSF 08),4200100018,ABELARDO LUZ (PSF 08),42001001,ABELARDO LUZ - ZONA URBANA,1,200807,900001,0,0,0,0,0,0,00,0,202202,1244
2410788,420010,89830000,00000000000000,3,3,83009886000161,,,,,0000,1,M,,,04,,01,02,03,,,99,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420010001600399841,70,ABELARDO LUZ (PSF 06),4200100016,ABELARDO LUZ (PSF 06),42001003,ABELARDO LUZ - ASSENTAMENTO,2,199802,900001,0,0,0,0,0,0,00,0,202202,1244
2410788,420010,89830000,00000000000000,3,3,83009886000161,,,,,0000,1,M,,,04,,01,02,03,,,99,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420010001500399825,70,ABELARDO LUZ (PSF 05),4200100015,ABELARDO LUZ (PSF 05),42001002,ABELARDO LUZ - ZONA RURAL,2,199801,900001,0,0,0,0,0,0,00,0,202202,1244
2410788,420010,89830000,00000000000000,3,3,83009886000161,,,,,0000,1,M,,,04,,01,02,03,,,99,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420010000100399833,72,NASF I,4299999999,,42999999,,9,200908,900001,0,0,0,0,0,0,00,0,202202,1244
6474128,420010,89830000,00000000000000,3,3,83009886000161,,,,,,1,M,,,04,,01,02,03,,,99,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420010000102019302,71,USB IRMA AUGUSTA,4299999999,,42999999,,9,202006,900001,0,0,0,0,0,0,00,0,202202,1244
6474128,420010,89830000,00000000000000,3,3,83009886000161,,,,,,1,M,,,04,,01,02,03,,,99,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420010001300399868,70,ABELARDO LUZ ( PSF 03),4200100013,ABELARDO LUZ ( PSF 03),42001003,ABELARDO LUZ - ASSENTAMENTO,2,199801,900001,0,0,0,0,0,0,00,0,202202,1244
6474136,420010,89830000,00000000000000,3,3,83009886000161,,,,,,1,M,,,04,,01,02,03,,,99,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420010000102019442,71,USB AMANTINO SOARES BORGES,4299999999,,42999999,,9,202006,900001,0,0,0,0,0,0,00,0,202202,1244
6474136,420010,89830000,00000000000000,3,3,83009886000161,,,,,,1,M,,,04,,01,02,03,,,99,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420010001200399876,70,ABELARDO LUZ (PSF 02),4200100012,ABELARDO LUZ (PSF 02),42001003,ABELARDO LUZ - ASSENTAMENTO,2,199802,900001,0,0,0,0,0,0,00,0,202202,1244
6474144,420010,89830000,00000000000000,3,3,83009886000161,,,,,,1,M,,,04,,01,02,03,,,99,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420010001400399884,70,ABELARDO LUZ (PSF 04),4200100014,ABELARDO LUZ (PSF 04),42001001,ABELARDO LUZ - ZONA URBANA,1,199801,900001,0,0,0,0,0,0,00,0,202202,1244
6474144,420010,89830000,00000000000000,3,3,83009886000161,,,,,,1,M,,,04,,01,02,03,,,99,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420010000102019493,71,USB MARLENE AGHETA PICCININ,4299999999,,42999999,,9,202006,900001,0,0,0,0,0,0,00,0,202202,1244
6474179,420010,89830000,00000000000000,3,3,83009886000161,,,,,,1,M,,,04,,01,02,03,,,99,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420010001700399892,70,ABELARDO LUZ (PSF 07),4200100017,ABELARDO LUZ (PSF 07),42001003,ABELARDO LUZ - ASSENTAMENTO,2,200408,900001,0,0,0,0,0,0,00,0,202202,1244
6826326,420010,89830000,00000000000000,3,3,83009886000161,,,,,,1,M,,,04,,01,02,03,,,99,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420010000102019515,71,USB ARCY ROMANO,4299999999,,42999999,,9,202006,900001,0,0,0,0,0,0,00,0,202202,1244
6826326,420010,89830000,00000000000000,3,3,83009886000161,,,,,,1,M,,,04,,01,02,03,,,99,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420010001100399906,70,ABELARDO LUZ (PSF 01),4200100011,ABELARDO LUZ (PSF 01),42001001,ABELARDO LUZ - ZONA URBANA,1,199802,900001,0,0,0,0,0,0,00,0,202202,1244
2377144,420020,88420000,00000000000000,3,3,83102582000144,,4ª,,,,1,M,,,04,,03,02,03,,,99,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420020000300399922,70,URBANA,4200200003,URBANA,42002003,URBANA,1,200706,900001,0,0,0,0,0,0,00,0,202202,1244
2377144,420020,88420000,00000000000000,3,3,83102582000144,,4ª,,,,1,M,,,04,,03,02,03,,,99,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420020000401521500,70,URBANA,4200200004,URBANA,42002004,URBANA,1,201407,900001,0,0,0,0,0,0,00,0,202202,1244
2377144,420020,88420000,00000000000000,3,3,83102582000144,,4ª,,,,1,M,,,04,,03,02,03,,,99,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420020000101842404,71,EQUIPE DE SAUDE BUCAL CENTRO,4200200001,RURAL,42002002,RURAL,2,202005,900001,0,0,0,0,0,0,00,0,202202,1244
7578709,420020,88420000,00000000000000,3,3,83102582000144,,12,,,,1,M,,,04,,01,02,03,,,99,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420020000202195305,72,NASF 01 AGROLANDIA,4200200002,URBANA,42002001,URBANA,1,202107,900001,0,0,0,0,0,0,00,0,202202,1244
7578709,420020,88420000,00000000000000,3,3,83102582000144,,12,,,,1,M,,,04,,01,02,03,,,99,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420020000101551396,72,NASF 02 AGROLANDIA,4200200001,RURAL,42002002,RURAL,2,201408,900001,0,0,0,0,0,0,00,0,202202,1244
9458026,420020,88420000,00000000000000,3,3,83102582000144,,,,,,1,M,,,04,,01,02,03,,,99,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420020000200399930,70,URBANA,4200200002,URBANA,42002001,URBANA,1,201410,900001,0,0,0,0,0,0,00,0,202202,1244
9458034,420020,88420000,00000000000000,3,3,83102582000144,,,,,,1,M,,,04,,01,02,03,,,99,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420020000501602829,70,URBANA,4200200005,URBANA,42002005,URBANA,1,201604,900001,0,0,0,0,0,0,00,0,202202,1244
9458034,420020,88420000,00000000000000,3,3,83102582000144,,,,,,1,M,,,04,,01,02,03,,,99,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420020000100399914,70,RURAL,4200200001,RURAL,42002002,RURAL,2,200410,900001,0,0,0,0,0,0,00,0,202202,1244
9458034,420020,88420000,00000000000000,3,3,83102582000144,,,,,,1,M,,,04,,01,02,03,,,99,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420020000101842315,71,EQUIPE DE SAUDE BUCAL TRES BAR,4200200001,RURAL,42002002,RURAL,2,202005,900001,0,0,0,0,0,0,00,0,202202,1244
2377497,420030,89188000,00000000000000,3,3,83102590000190,,004,,,,1,M,,,04,,03,02,03,,,99,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420030000101527363,72,NASF CIDADE DO ARROZ,4200300001,CENTRO,42003001,PROGRAMA DE SAUDE FAMILIA,1,201404,900001,0,0,0,0,0,0,00,0,202202,1244
2674750,420030,89188000,00000000000000,3,3,83102590000190,,4,,,,1,M,,,04,,01,02,03,,,99,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420030000201487736,70,RURAL,4200300002,RURAL,42003001,PROGRAMA DE SAUDE FAMILIA,1,201309,900001,0,0,0,0,0,0,00,0,202202,1244
2674750,420030,89188000,00000000000000,3,3,83102590000190,,4,,,,1,M,,,04,,01,02,03,,,99,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420030000202163497,71,SAUDE BUCAL II,4200300002,RURAL,42003001,PROGRAMA DE SAUDE FAMILIA,1,202102,900001,0,0,0,0,0,0,00,0,202202,1244
2674750,420030,89188000,00000000000000,3,3,83102590000190,,4,,,,1,M,,,04,,01,02,03,,,99,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420030000100399949,70,CENTRO,4200300001,CENTRO,42003001,PROGRAMA DE SAUDE FAMILIA,1,200102,900001,0,0,0,0,0,0,00,0,202202,1244
2674750,420030,89188000,00000000000000,3,3,83102590000190,,4,,,,1,M,,,04,,01,02,03,,,99,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420030000102111446,71,SAUDE BUCAL CENTRO AGRONOMICA,4200300001,CENTRO,42003001,PROGRAMA DE SAUDE FAMILIA,1,200307,900001,0,0,0,0,0,0,00,0,202202,1244
0877387,420040,89654000,00000000000000,3,3,82939398000190,,,,,,1,M,,,04,,03,04,03,,,99,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,420040000102207796,72,CLINICA MULTIPROFISSIONAL DE S,4200400001,ESF IRMA THEREZA UBER,42004001,ESF IRMA THEREZA UBER,1,202109,900001,0,0,0,0,0,0,00,0,202202,1244
2380196,420040,89654000,00000000000000,3,3,82939398000190,,7ª,,,,1,M,,,04,,03,02,03,,,99,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,420040000100399957,70,ESF IRMA THEREZA UBER,4200400001,ESF IRMA THEREZA UBER,42004001,ESF IRMA THEREZA UBER,1,200110,900001,0,0,0,0,0,0,00,0,202202,1244
2380196,420040,89654000,00000000000000,3,3,82939398000190,,7ª,,,,1,M,,,04,,03,02,03,,,99,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,420040000102078775,71,SB IRMA THEREZA UBER,4200400001,ESF IRMA THEREZA UBER,42004001,ESF IRMA THEREZA UBER,1,200110,900001,0,0,0,0,0,0,00,0,202202,1244
2663368,420040,89654000,00000000000000,3,3,82939398000190,,7ª,,,,1,M,,,04,,01,02,03,,,99,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420040000102078783,71,SB ALZIRA ITALIA FERRETTI,4200400001,ESF IRMA THEREZA UBER,42004001,ESF IRMA THEREZA UBER,1,200110,900001,0,0,0,0,0,0,00,0,202202,1244
2663368,420040,89654000,00000000000000,3,3,82939398000190,,7ª,,,,1,M,,,04,,01,02,03,,,99,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420040000200399965,70,ESF ALZIRA ITALIA FERRETTI,4200400002,ESF ALZIRA ITALIA FERRETTI,42004002,ESF ALZIRA ITALIA FERRETTI,1,200110,900001,0,0,0,0,0,0,00,0,202202,1244
7484011,420040,89654000,00000000000000,3,3,82939398000190,,7,,,,1,M,,,04,,01,02,03,,,99,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420040000301525638,70,ESF TRES PINHEIROS,4200400003,ESF TRES PINHEIROS,42004003,ESF TRES PINHEIROS,1,201405,900001,0,0,0,0,0,0,00,0,202202,1244
7484011,420040,89654000,00000000000000,3,3,82939398000190,,7,,,,1,M,,,04,,01,02,03,,,99,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420040000202078791,71,SB TRES PINHEIROS,4200400002,ESF ALZIRA ITALIA FERRETTI,42004002,ESF ALZIRA ITALIA FERRETTI,1,201405,900001,0,0,0,0,0,0,00,0,202202,1244
0883360,420050,89883000,00000000000000,3,3,82804212000196,,,,,,1,M,,,04,,03,36,03,,,99,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420050000101489046,72,EQUIPE AMPLIADA,4200500001,MAIDANA,42005002,URBANO,1,201303,900001,0,0,0,0,0,0,00,0,202202,1244
2537966,420050,89883000,00000000000000,3,3,82804212000196,,10,,,,1,M,,,04,,01,02,03,,,99,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420050000200399973,70,PSF CENTRO,4200500002,PSF CENTRO,42005002,URBANO,1,200410,900001,0,0,0,0,0,0,00,0,202202,1244
2537966,420050,89883000,00000000000000,3,3,82804212000196,,10,,,,1,M,,,04,,01,02,03,,,99,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420050000101984896,71,SAUDE BUCAL 01,4200500001,MAIDANA,42005002,URBANO,1,200410,900001,0,0,0,0,0,0,00,0,202202,1244
2553082,420050,89883000,00000000000000,3,3,82804212000196,,10,,,,1,M,,,04,,03,02,03,,,99,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,420050000101984926,71,SAUDE BUCAL 02,4200500001,MAIDANA,42005002,URBANO,1,200205,900001,0,0,0,0,0,0,00,0,202202,1244
