MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
Competência: SET/2015.
Estado: SC.
Tipo de Produção: Atendimento Individual.
"Tipo de Atendimento: Cons. agen. prog/cuid. cont., Consulta agendada, Dem. esp. esc. inicial/orient., Dem. esp. consulta no dia, Dem. esp. atendimento urgência."
"Probl/ Condição Avaliada: Asma, Diabetes, DPOC, Hipertensão arterial, Obesidade, Tabagismo, Usuário de álcool, Saúde mental, D.Transmissíveis - Hanseníase, D.Transmissíveis - Tuberculose, Rast. câncer de mama, Rast. câncer do colo do útero."


Uf;Ibge;Municipio;Asma;Diabetes;DPOC;Hipertensão arterial;Obesidade;Tabagismo;Usuário de álcool;Saúde mental;D.Transmissíveis - Hanseníase;D.Transmissíveis - Tuberculose;Rast. câncer de mama;Rast. câncer do colo do útero;
SC;421105;MONTE CARLO;1;45;5;187;36;26;4;38;0;0;2;22;
SC;420270;BOTUVERÁ;0;0;0;0;0;0;0;15;0;0;0;0;
SC;421100;MONDAÍ;6;30;10;242;46;4;4;98;0;0;0;4;
SC;420960;LAURO MULLER;25;65;6;182;37;21;3;196;0;0;8;60;
SC;421150;NOVA TRENTO;1;4;1;23;2;0;1;60;0;0;0;0;
SC;420850;ITUPORANGA;12;48;2;217;66;7;5;116;0;0;2;0;
SC;421850;TREZE TÍLIAS;2;14;4;66;3;2;0;9;0;0;0;0;
SC;421625;SÃO JOÃO DO OESTE;0;0;0;0;0;0;0;4;0;0;0;0;
SC;421320;POMERODE;10;75;9;282;9;0;7;473;0;0;13;0;
SC;421600;SÃO CARLOS;3;33;2;216;10;3;6;235;0;0;51;93;
SC;421725;SÃO PEDRO DE ALCÂNTARA;12;22;0;55;2;2;0;28;0;0;0;0;
SC;420550;FRAIBURGO;17;191;45;479;41;7;8;330;0;0;16;15;
SC;420460;CRICIÚMA;265;1.082;153;3.122;496;156;24;2.948;0;21;477;814;
SC;421895;URUPEMA;0;3;0;3;2;0;1;18;0;0;0;0;
SC;420417;CERRO NEGRO;1;6;0;16;0;0;0;22;0;0;0;0;
SC;420845;ITAPOÁ;0;59;8;99;0;1;0;25;0;1;0;0;
SC;421890;URUBICI;0;26;12;85;12;1;0;87;0;0;0;0;
SC;421917;VARGEM BONITA;4;38;10;106;34;16;0;11;0;0;25;25;
SC;420690;IBIRAMA;0;0;0;0;3;0;0;54;0;0;0;0;
SC;421060;MASSARANDUBA;0;22;3;75;0;24;5;24;0;0;0;0;
SC;420130;ARAQUARI;29;195;34;460;96;37;4;199;0;4;33;40;
SC;421220;PAPANDUVA;12;73;15;233;5;6;3;81;0;3;7;9;
SC;421660;SÃO JOSÉ;3;4;0;15;0;0;0;19;0;0;0;0;
SC;421560;SANTA ROSA DE LIMA;0;1;0;3;27;0;0;70;0;0;0;0;
SC;420910;JOINVILLE;5;37;4;86;8;0;0;22;0;0;0;0;
SC;421740;SCHROEDER;14;82;3;229;17;4;6;113;0;0;0;9;
SC;420040;ÁGUA DOCE;9;5;8;105;0;0;4;53;0;6;2;0;
SC;420600;GOVERNADOR CELSO RAMOS;9;6;0;43;1;0;0;12;0;1;0;0;
SC;421360;PORTO UNIÃO;0;7;0;1;20;0;1;3;0;0;0;0;
SC;421635;SÃO JOÃO DO ITAPERIÚ;1;23;1;73;6;9;0;104;0;3;23;29;
SC;421190;PALHOÇA;2;19;4;70;8;2;1;49;1;0;31;31;
SC;420930;LAGES;176;1.038;149;2.618;323;205;38;1.718;0;2;150;229;
SC;420070;ALFREDO WAGNER;10;40;3;144;12;5;2;181;0;0;2;0;
SC;420075;ALTO BELA VISTA;0;3;0;8;1;0;0;1;0;0;0;0;
SC;421330;PONTE ALTA;1;4;3;6;1;0;0;55;0;0;0;0;
SC;421650;SÃO JOAQUIM;18;75;9;246;20;18;5;115;0;0;3;4;
SC;420330;CAMPO ALEGRE;4;10;1;44;13;10;0;4;0;0;10;15;
SC;420280;BRAÇO DO NORTE;18;84;6;254;48;18;3;618;1;0;22;23;
SC;421580;SÃO BENTO DO SUL;13;309;8;535;9;0;9;186;0;1;0;0;
SC;420740;IMBUIA;3;8;5;76;3;9;4;92;0;0;1;1;
SC;421755;SERRA ALTA;0;0;0;0;0;0;0;1;0;0;0;0;
SC;420287;BRUNÓPOLIS;1;6;1;21;2;3;2;59;0;0;1;35;
SC;421010;MAFRA;12;251;10;434;34;8;13;221;0;3;0;0;
SC;420080;ANCHIETA;1;25;7;107;18;0;2;72;2;0;41;57;
SC;420370;CANELINHA;6;16;17;41;3;0;0;64;0;0;0;0;
SC;421555;SANTA HELENA;1;16;3;31;5;3;0;74;0;0;0;1;
SC;421205;PALMEIRA;7;22;6;108;28;7;1;91;0;1;0;0;
SC;421003;LUZERNA;3;28;4;74;8;3;1;116;0;0;29;68;
SC;421795;TIGRINHOS;0;0;0;23;0;0;0;3;0;0;0;0;
SC;420205;BALNEÁRIO BARRA DO SUL;1;42;2;128;3;1;0;56;0;0;0;0;
SC;421430;RANCHO QUEIMADO;1;31;1;121;8;3;1;141;0;0;58;52;
SC;421565;SANTA ROSA DO SUL;2;23;6;66;0;0;0;120;0;0;21;51;
SC;420140;ARARANGUÁ;54;367;46;1.116;225;60;11;1.061;0;0;186;360;
SC;420210;BARRA VELHA;11;150;15;345;43;14;8;184;0;0;2;0;
SC;420207;BALNEÁRIO GAIVOTA;9;32;2;67;19;14;1;111;0;0;9;15;
SC;420780;IRANI;7;54;23;201;39;37;15;107;0;1;20;54;
SC;420243;BOCAINA DO SUL;8;19;10;55;12;48;0;10;0;0;0;0;
SC;421620;SÃO FRANCISCO DO SUL;1;20;1;39;1;0;0;5;0;0;0;0;
SC;421290;PINHALZINHO;1;50;11;60;58;49;8;233;1;1;102;178;
SC;420209;BARRA BONITA;1;1;0;0;0;0;0;1;0;0;1;0;
SC;420060;ÁGUAS MORNAS;3;53;22;157;52;8;7;168;0;1;3;0;
SC;421870;TUBARÃO;138;762;120;1.850;264;108;27;3.160;0;5;182;198;
SC;421000;LUIZ ALVES;3;25;5;88;14;16;2;47;0;0;10;21;
SC;420820;ITAJAÍ;92;789;132;2.291;482;175;42;1.121;2;13;318;661;
SC;420970;LEBON RÉGIS;5;74;1;223;80;55;5;58;0;0;7;22;
SC;421680;SÃO JOSÉ DO CERRITO;6;5;0;9;1;2;0;80;0;0;0;0;
SC;420127;ARABUTÃ;3;5;3;200;3;0;1;30;0;1;11;11;
SC;420990;LONTRAS;8;40;4;121;36;10;1;117;0;0;0;0;
SC;420430;CONCÓRDIA;25;183;53;709;82;26;2;376;0;0;105;120;
SC;420610;GRÃO PARÁ;1;9;0;33;1;3;4;133;0;0;5;20;
SC;420100;ANITA GARIBALDI;6;4;1;34;0;10;11;23;0;0;0;0;
SC;421575;SÃO BERNARDINO;1;9;2;40;18;11;0;15;0;0;0;0;
SC;421500;RIO NEGRINHO;9;194;7;318;1;1;1;207;0;1;0;0;
SC;421280;BALNEÁRIO PIÇARRAS;0;1;0;0;1;0;0;94;0;0;0;0;
SC;420455;CORREIA PINTO;8;65;19;208;101;18;4;248;0;0;16;32;
SC;421915;VARGEM;2;4;2;26;0;0;1;49;0;0;0;0;
SC;420160;ARROIO TRINTA;0;7;0;29;2;16;0;43;0;0;6;0;
SC;420257;BOM JESUS DO OESTE;0;0;0;0;0;1;7;52;0;0;0;0;
SC;421720;SÃO MIGUEL DO OESTE;17;73;31;244;66;18;3;259;0;3;47;55;
SC;420670;HERVAL D'OESTE;7;73;8;230;11;6;3;131;0;0;2;9;
SC;421480;RIO DO SUL;14;99;22;367;146;51;2;326;0;0;49;48;
SC;421950;XANXERÊ;125;246;30;713;147;66;47;1.854;0;0;230;299;
SC;421630;SÃO JOÃO BATISTA;33;152;28;459;98;30;29;648;0;7;35;52;
SC;421315;PLANALTO ALEGRE;9;24;5;162;46;4;2;137;0;0;54;53;
SC;421335;PONTE ALTA DO NORTE;0;17;1;42;1;1;0;3;0;0;0;0;
SC;420785;IRATI;0;1;0;1;0;0;0;0;0;0;2;1;
SC;421165;NOVO HORIZONTE;6;14;4;37;17;3;2;63;0;0;19;104;
SC;420380;CANOINHAS;3;25;0;82;9;3;0;35;0;0;0;2;
SC;420120;ANTÔNIO CARLOS;4;20;3;81;6;3;2;14;0;0;51;60;
SC;420250;BOM JARDIM DA SERRA;4;10;2;45;5;4;1;48;0;0;0;0;
SC;421985;ZORTÉA;0;0;0;1;0;0;0;0;0;0;0;0;
SC;421550;SANTA CECÍLIA;0;3;0;57;0;0;0;0;0;0;0;7;
SC;420540;FLORIANÓPOLIS;184;536;29;1.341;75;77;15;1.074;1;38;30;7;
