MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
Competência: FEV/2016.
Estado: SC.
Tipo de Produção: Atendimento Individual.
"Tipo de Atendimento: Cons. agen. prog/cuid. cont., Consulta agendada, Dem. esp. esc. inicial/orient., Dem. esp. consulta no dia, Dem. esp. atendimento urgência."
"Probl/ Condição Avaliada: Asma, Diabetes, DPOC, Hipertensão arterial, Obesidade, Tabagismo, Usuário de álcool, Saúde mental, D.Transmissíveis - Hanseníase, D.Transmissíveis - Tuberculose, Rast. câncer de mama, Rast. câncer do colo do útero."


Uf;Ibge;Municipio;Asma;Diabetes;DPOC;Hipertensão arterial;Obesidade;Tabagismo;Usuário de álcool;Saúde mental;D.Transmissíveis - Hanseníase;D.Transmissíveis - Tuberculose;Rast. câncer de mama;Rast. câncer do colo do útero;
SC;421720;SÃO MIGUEL DO OESTE;19;74;37;145;47;27;17;277;2;2;39;21;
SC;420270;BOTUVERÁ;0;0;1;0;0;0;0;18;0;0;0;0;
SC;421820;TIMBÓ;24;491;49;1.161;26;104;8;1.351;7;3;4;4;
SC;420127;ARABUTÃ;8;23;1;135;18;2;0;81;0;0;9;10;
SC;421950;XANXERÊ;42;296;44;842;99;33;25;1.742;1;0;237;152;
SC;420210;BARRA VELHA;17;100;20;306;46;1;2;96;0;3;58;92;
SC;421917;VARGEM BONITA;3;36;12;147;33;11;0;110;0;0;19;25;
SC;420125;APIÚNA;8;60;8;114;42;4;0;84;0;0;4;4;
SC;421505;RIO RUFINO;0;1;0;5;0;0;2;16;0;0;0;0;
SC;421540;SALTO VELOSO;0;9;0;26;1;0;0;51;0;0;0;7;
SC;421600;SÃO CARLOS;1;29;2;214;3;3;2;215;1;0;35;56;
SC;420580;GARUVA;0;60;0;76;6;2;0;4;0;0;0;0;
SC;420100;ANITA GARIBALDI;4;43;5;120;14;25;7;80;0;0;0;0;
SC;421185;OURO VERDE;0;0;0;0;0;0;0;2;0;0;0;0;
SC;420740;IMBUIA;5;19;10;141;1;8;2;119;0;0;0;0;
SC;421220;PAPANDUVA;4;109;2;402;10;11;8;69;1;0;0;9;
SC;420310;CAIBI;0;16;0;130;9;12;2;8;0;0;0;0;
SC;421520;ROMELÂNDIA;0;0;0;0;0;0;0;0;2;0;27;25;
SC;420350;CAMPO ERÊ;0;1;0;9;0;0;0;8;0;0;0;0;
SC;420519;ERMO;0;0;0;0;0;0;0;2;0;0;0;0;
SC;420419;CHAPADÃO DO LAGEADO;0;0;0;2;2;0;0;13;0;0;0;0;
SC;420340;CAMPO BELO DO SUL;3;23;3;55;0;2;0;58;0;0;2;0;
SC;421000;LUIZ ALVES;0;1;0;0;7;0;2;21;0;0;5;12;
SC;420765;IPORÃ DO OESTE;20;6;1;132;0;0;4;278;0;3;0;0;
SC;421835;TREVISO;0;0;0;2;0;0;0;2;0;0;0;0;
SC;421890;URUBICI;5;23;4;81;6;2;1;77;0;0;3;1;
SC;420845;ITAPOÁ;0;96;2;198;0;0;2;82;0;2;0;0;
SC;420417;CERRO NEGRO;0;1;0;5;0;0;0;33;0;0;0;0;
SC;420840;ITAPIRANGA;2;0;0;18;0;0;0;19;0;0;0;0;
SC;421680;SÃO JOSÉ DO CERRITO;3;12;2;18;1;2;1;54;0;0;0;0;
SC;420530;FAXINAL DOS GUEDES;0;0;0;34;1;0;0;0;0;0;0;1;
SC;420170;ASCURRA;2;82;24;258;74;16;4;94;0;4;0;0;
SC;420205;BALNEÁRIO BARRA DO SUL;5;52;1;133;3;0;0;32;0;2;0;2;
SC;421570;SANTO AMARO DA IMPERATRIZ;1;14;1;5;1;2;2;4;0;0;0;0;
SC;420140;ARARANGUÁ;53;372;22;1.156;139;33;14;1.343;0;0;154;275;
SC;420430;CONCÓRDIA;24;259;34;1.048;102;17;4;479;0;2;212;253;
SC;421190;PALHOÇA;9;146;18;391;49;15;9;412;0;2;121;144;
SC;420207;BALNEÁRIO GAIVOTA;30;45;8;84;45;21;1;21;0;0;22;23;
SC;421910;VARGEÃO;0;5;2;27;0;0;1;5;0;0;0;0;
SC;421840;TREZE DE MAIO;5;10;0;10;4;0;0;7;0;0;0;0;
SC;420070;ALFREDO WAGNER;5;84;17;262;37;14;19;338;0;0;0;2;
SC;420535;FLOR DO SERTÃO;0;9;5;10;2;2;8;25;2;0;1;25;
SC;421340;PONTE SERRADA;0;1;0;9;0;0;0;35;0;0;0;0;
SC;421187;PAIAL;12;11;1;11;0;1;3;27;0;0;1;0;
SC;421335;PONTE ALTA DO NORTE;0;1;0;0;0;0;0;0;0;0;0;0;
SC;420435;CORDILHEIRA ALTA;0;2;0;0;0;0;4;124;0;0;0;0;
SC;420380;CANOINHAS;13;240;53;975;37;23;7;472;0;2;5;0;
SC;421725;SÃO PEDRO DE ALCÂNTARA;7;48;3;136;1;8;3;40;0;1;0;0;
SC;421900;URUSSANGA;4;108;0;155;2;16;2;106;0;0;3;9;
SC;421330;PONTE ALTA;0;22;6;45;0;0;0;45;0;0;2;3;
SC;421545;SANGÃO;1;4;0;5;0;0;0;4;0;0;0;0;
SC;420130;ARAQUARI;14;212;35;515;178;18;13;172;0;11;58;104;
SC;420120;ANTÔNIO CARLOS;7;57;2;152;15;10;12;162;0;0;0;13;
SC;421350;PORTO BELO;8;77;7;180;22;10;1;68;0;0;16;10;
SC;421175;OTACÍLIO COSTA;8;106;22;313;8;9;5;403;0;0;2;9;
SC;420460;CRICIÚMA;196;1.325;171;4.176;662;105;47;3.874;2;25;498;776;
SC;420970;LEBON RÉGIS;4;53;3;150;37;18;0;102;0;0;1;14;
SC;420240;BLUMENAU;12;36;6;108;5;4;2;69;0;8;8;3;
SC;421920;VIDAL RAMOS;4;8;2;56;4;2;2;82;0;0;0;0;
SC;421800;TIJUCAS;70;429;18;1.982;41;0;5;1.540;12;29;11;17;
SC;421569;SANTIAGO DO SUL;0;0;0;0;0;1;0;16;0;0;0;0;
SC;421170;ORLEANS;3;6;3;7;4;0;0;29;0;0;0;2;
SC;421110;MONTE CASTELO;2;21;1;54;1;3;1;28;0;1;0;60;
SC;420540;FLORIANÓPOLIS;243;1.527;111;3.812;225;147;47;2.804;12;107;102;13;
SC;421003;LUZERNA;1;15;7;28;7;6;3;55;0;0;77;90;
SC;421715;SÃO MIGUEL DA BOA VISTA;2;14;2;9;2;15;3;36;0;0;0;22;
SC;420165;ARVOREDO;0;2;0;9;0;0;1;6;0;0;0;1;
SC;421565;SANTA ROSA DO SUL;11;45;7;129;0;3;0;298;0;2;10;22;
