MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
Competência: AGO/2016.
Estado: SC.
Tipo de Produção: Atendimento Individual.
"Tipo de Atendimento: Cons. agen. prog/cuid. cont., Consulta agendada, Dem. esp. esc. inicial/orient., Dem. esp. consulta no dia, Dem. esp. atendimento urgência."
"Probl/ Condição Avaliada: Asma, Diabetes, DPOC, Hipertensão arterial, Obesidade, Tabagismo, Usuário de álcool, Saúde mental, D.Transmissíveis - Hanseníase, D.Transmissíveis - Tuberculose, Rast. câncer de mama, Rast. câncer do colo do útero."


Uf;Ibge;Municipio;Asma;Diabetes;DPOC;Hipertensão arterial;Obesidade;Tabagismo;Usuário de álcool;Saúde mental;D.Transmissíveis - Hanseníase;D.Transmissíveis - Tuberculose;Rast. câncer de mama;Rast. câncer do colo do útero;
SC;421720;SÃO MIGUEL DO OESTE;35;103;31;264;90;12;12;279;2;4;60;31;
SC;420800;ITÁ;67;46;10;317;49;62;7;324;0;2;50;103;
SC;420270;BOTUVERÁ;0;1;0;0;0;0;3;14;0;0;0;0;
SC;421820;TIMBÓ;40;428;31;872;35;62;10;1.489;0;2;0;0;
SC;421590;SÃO BONIFÁCIO;1;14;5;54;5;11;0;18;0;0;0;0;
SC;420543;FORMOSA DO SUL;0;24;0;132;5;1;0;9;0;0;0;0;
SC;420127;ARABUTÃ;1;11;0;62;9;2;0;59;0;0;5;0;
SC;420945;LAJEADO GRANDE;2;4;8;48;4;0;2;78;0;0;0;2;
SC;421950;XANXERÊ;49;332;44;1.013;115;81;33;1.924;0;1;318;276;
SC;421505;RIO RUFINO;2;1;1;8;1;0;2;56;0;0;0;0;
SC;420210;BARRA VELHA;60;344;45;694;44;8;6;453;0;3;12;52;
SC;421917;VARGEM BONITA;94;73;24;268;53;34;4;151;0;0;35;37;
SC;421090;MODELO;33;166;13;248;25;23;3;441;18;6;132;387;
SC;420125;APIÚNA;22;192;30;436;208;66;8;486;0;0;66;66;
SC;421600;SÃO CARLOS;1;34;3;199;6;3;1;167;0;0;18;14;
SC;421540;SALTO VELOSO;7;26;10;54;2;0;5;119;0;0;0;0;
SC;421420;QUILOMBO;6;28;0;66;18;4;0;404;0;0;2;0;
SC;421185;OURO VERDE;2;75;2;247;5;7;1;105;0;0;64;64;
SC;420580;GARUVA;2;59;3;87;14;18;1;36;0;1;0;0;
SC;420100;ANITA GARIBALDI;2;28;15;77;16;11;3;95;0;0;5;0;
SC;420519;ERMO;5;63;15;180;68;34;7;551;0;0;7;3;
SC;421220;PAPANDUVA;11;170;25;656;18;29;6;251;1;0;52;67;
SC;420740;IMBUIA;2;15;2;138;1;40;4;118;0;0;8;15;
SC;420310;CAIBI;4;63;6;278;24;11;1;185;0;1;4;7;
SC;420350;CAMPO ERÊ;2;65;26;127;98;9;5;411;0;0;152;213;
SC;421520;ROMELÂNDIA;0;18;2;37;0;0;5;15;5;0;13;12;
SC;420340;CAMPO BELO DO SUL;2;32;12;316;0;0;5;271;0;1;0;0;
SC;421000;LUIZ ALVES;4;40;4;147;58;14;3;164;0;0;17;36;
SC;420419;CHAPADÃO DO LAGEADO;0;0;0;4;0;1;1;7;0;0;0;0;
SC;421300;PINHEIRO PRETO;0;8;0;6;25;0;0;0;0;0;0;0;
SC;420765;IPORÃ DO OESTE;19;68;12;442;41;3;2;482;2;0;25;21;
SC;421835;TREVISO;5;39;1;153;7;0;0;272;0;0;17;34;
SC;420950;LAURENTINO;12;80;31;152;38;0;4;119;0;0;0;0;
SC;420915;JOSÉ BOITEUX;4;19;0;55;0;0;0;132;0;0;0;0;
SC;420555;FREI ROGÉRIO;1;17;3;35;20;3;5;44;0;0;0;12;
SC;420670;HERVAL D'OESTE;5;84;16;327;11;6;11;201;0;2;10;2;
SC;421125;MORRO GRANDE;4;14;2;19;44;14;0;16;0;0;2;2;
