MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
Competência: MAI/2017.
Estado: SC.
Tipo de Produção: Atendimento Individual.
"Tipo de Atendimento: Cons. agen. prog/cuid. cont., Consulta agendada, Dem. esp. esc. inicial/orient., Dem. esp. consulta no dia, Dem. esp. atendimento urgência."
"Probl/ Condição Avaliada: Asma, Diabetes, DPOC, Hipertensão arterial, Obesidade, Tabagismo, Usuário de álcool, Saúde mental, D.Transmissíveis - Hanseníase, D.Transmissíveis - Tuberculose, Rast. câncer de mama, Rast. câncer do colo do útero."


Uf;Ibge;Municipio;Asma;Diabetes;DPOC;Hipertensão arterial;Obesidade;Tabagismo;Usuário de álcool;Saúde mental;D.Transmissíveis - Hanseníase;D.Transmissíveis - Tuberculose;Rast. câncer de mama;Rast. câncer do colo do útero;
SC;420540;FLORIANÓPOLIS;393;1.223;128;2.872;225;148;46;2.443;8;72;82;343;
SC;420165;ARVOREDO;3;19;7;120;75;30;8;306;0;0;0;0;
SC;421003;LUZERNA;15;41;9;213;15;4;2;194;0;0;1;26;
SC;421715;SÃO MIGUEL DA BOA VISTA;0;0;0;0;0;1;1;25;0;0;0;0;
SC;420320;CAMBORIÚ;44;332;51;896;83;30;16;455;0;3;49;108;
SC;421100;MONDAÍ;54;20;18;67;12;0;3;149;0;2;1;0;
SC;421775;SUL BRASIL;7;52;19;114;28;0;2;41;2;1;1;1;
SC;421565;SANTA ROSA DO SUL;1;5;0;30;0;0;0;72;0;0;1;0;
SC;420690;IBIRAMA;12;141;9;338;56;19;4;202;0;0;33;24;
SC;420770;IPUMIRIM;17;29;2;88;37;0;0;174;0;0;10;67;
SC;420860;JABORÁ;0;0;1;7;0;0;0;50;0;0;0;10;
SC;420917;JUPIÁ;6;26;6;52;20;10;8;84;0;0;0;64;
SC;421850;TREZE TÍLIAS;9;13;3;20;0;3;1;142;0;0;0;0;
SC;421200;PALMA SOLA;5;55;3;180;7;6;8;251;1;0;79;101;
SC;421315;PLANALTO ALEGRE;2;1;2;19;12;9;0;29;0;0;1;0;
SC;420243;BOCAINA DO SUL;0;7;0;21;4;4;1;3;0;1;1;3;
SC;421760;SIDERÓPOLIS;17;83;11;181;97;1;2;191;0;0;9;9;
SC;421830;TRÊS BARRAS;42;275;67;707;66;56;13;500;1;1;3;6;
SC;420090;ANGELINA;0;8;15;44;0;0;2;76;0;0;5;4;
SC;420650;GUARAMIRIM;5;112;4;199;5;6;3;92;0;0;2;1;
SC;421415;PRINCESA;1;4;3;29;15;1;2;24;0;0;23;0;
SC;421500;RIO NEGRINHO;37;271;24;568;20;18;7;630;0;2;1;362;
SC;420230;BIGUAÇU;97;390;55;759;143;18;9;680;0;12;1;1;
SC;421960;XAVANTINA;6;131;4;245;22;1;7;114;0;0;5;18;
