MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
Competência: OUT/2017.
Estado: SC.
Tipo de Produção: Atendimento Individual.
"Tipo de Atendimento: Cons. agen. prog/cuid. cont., Consulta agendada, Dem. esp. esc. inicial/orient., Dem. esp. consulta no dia, Dem. esp. atendimento urgência."
"Probl/ Condição Avaliada: Asma, Diabetes, DPOC, Hipertensão arterial, Obesidade, Tabagismo, Usuário de álcool, Saúde mental, D.Transmissíveis - Hanseníase, D.Transmissíveis - Tuberculose, Rast. câncer de mama, Rast. câncer do colo do útero."


Uf;Ibge;Municipio;Asma;Diabetes;DPOC;Hipertensão arterial;Obesidade;Tabagismo;Usuário de álcool;Saúde mental;D.Transmissíveis - Hanseníase;D.Transmissíveis - Tuberculose;Rast. câncer de mama;Rast. câncer do colo do útero;
SC;421720;SÃO MIGUEL DO OESTE;44;116;29;357;59;27;8;559;0;0;71;103;
SC;420800;ITÁ;92;98;38;470;93;64;28;381;0;0;389;379;
SC;420270;BOTUVERÁ;5;20;8;43;14;0;0;126;0;0;4;40;
SC;421260;PERITIBA;0;3;0;19;2;5;1;52;0;0;2;0;
SC;421820;TIMBÓ;47;236;33;689;81;26;4;986;0;0;169;313;
SC;420945;LAJEADO GRANDE;4;17;1;152;43;5;3;73;0;0;3;22;
SC;420127;ARABUTÃ;0;11;9;41;14;11;2;102;0;0;5;5;
SC;420543;FORMOSA DO SUL;1;42;2;188;3;0;0;111;0;1;0;26;
SC;421590;SÃO BONIFÁCIO;0;2;1;4;0;0;0;15;0;0;0;0;
SC;420675;IBIAM;0;0;0;0;0;0;0;0;0;0;0;30;
SC;421090;MODELO;12;76;1;115;5;1;1;235;1;0;25;25;
SC;421917;VARGEM BONITA;3;27;1;109;30;19;1;74;0;0;43;55;
SC;421950;XANXERÊ;35;313;46;738;205;42;33;1.968;0;2;236;374;
SC;420210;BARRA VELHA;13;112;10;301;39;26;7;257;0;2;83;104;
SC;421505;RIO RUFINO;0;0;0;4;0;0;0;1;0;0;0;0;
SC;421600;SÃO CARLOS;5;19;1;93;3;1;0;83;0;0;17;34;
SC;421540;SALTO VELOSO;0;8;2;17;0;1;0;85;0;0;0;6;
SC;421420;QUILOMBO;21;140;15;228;91;32;21;231;0;2;37;80;
SC;420100;ANITA GARIBALDI;16;12;11;28;7;12;3;135;0;0;0;0;
SC;421185;OURO VERDE;4;39;2;85;20;2;0;34;0;0;36;81;
SC;420350;CAMPO ERÊ;5;46;5;109;46;14;0;228;2;0;59;96;
SC;421220;PAPANDUVA;11;114;8;319;26;32;4;175;1;0;1;0;
SC;420740;IMBUIA;6;8;1;69;18;17;0;153;0;0;6;6;
SC;420310;CAIBI;12;69;4;323;39;6;14;276;0;0;0;0;
SC;421520;ROMELÂNDIA;9;8;0;24;4;1;3;55;0;0;0;0;
SC;420005;ABDON BATISTA;0;3;1;12;0;0;1;42;0;0;0;0;
SC;421000;LUIZ ALVES;3;26;3;90;5;7;2;134;0;0;14;41;
SC;420340;CAMPO BELO DO SUL;3;17;4;31;1;2;2;37;0;0;0;1;
SC;420419;CHAPADÃO DO LAGEADO;1;0;0;0;0;0;0;26;0;0;0;0;
SC;420765;IPORÃ DO OESTE;14;35;1;185;50;1;3;150;0;1;1;5;
SC;421835;TREVISO;11;161;9;380;290;29;19;113;0;0;84;130;
SC;421300;PINHEIRO PRETO;7;48;8;120;43;11;4;226;0;6;4;72;
SC;421125;MORRO GRANDE;2;18;1;13;0;12;1;198;0;0;49;2;
