MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
Competência: MAR/2018.
Estado: SC.
Tipo de Produção: Atendimento Individual.
"Tipo de Atendimento: Cons. agen. prog/cuid. cont., Consulta agendada, Dem. esp. esc. inicial/orient., Dem. esp. consulta no dia, Dem. esp. atendimento urgência."
"Probl/ Condição Avaliada: Asma, Diabetes, DPOC, Hipertensão arterial, Obesidade, Tabagismo, Usuário de álcool, Saúde mental, D.Transmissíveis - Hanseníase, D.Transmissíveis - Tuberculose, Rast. câncer de mama, Rast. câncer do colo do útero."


Uf;Ibge;Municipio;Asma;Diabetes;DPOC;Hipertensão arterial;Obesidade;Tabagismo;Usuário de álcool;Saúde mental;D.Transmissíveis - Hanseníase;D.Transmissíveis - Tuberculose;Rast. câncer de mama;Rast. câncer do colo do útero;
SC;421720;SÃO MIGUEL DO OESTE;37;89;27;302;74;14;9;465;3;2;39;50;
SC;421260;PERITIBA;13;30;14;87;39;19;2;104;0;0;20;5;
SC;420800;ITÁ;18;38;5;206;37;46;2;108;5;0;91;110;
SC;420270;BOTUVERÁ;7;15;2;31;14;0;1;58;0;0;0;8;
SC;421820;TIMBÓ;51;213;11;625;70;30;6;680;0;4;176;276;
SC;420127;ARABUTÃ;0;11;1;37;8;2;3;39;0;0;7;3;
SC;420543;FORMOSA DO SUL;0;52;7;228;1;1;1;91;0;0;0;38;
SC;420945;LAJEADO GRANDE;1;2;0;13;13;0;0;68;0;0;0;6;
SC;421590;SÃO BONIFÁCIO;9;23;4;15;17;7;0;207;0;0;0;0;
SC;420675;IBIAM;0;0;0;0;0;0;0;0;0;0;0;11;
SC;421950;XANXERÊ;36;308;31;783;252;58;23;1.658;0;3;198;263;
SC;420210;BARRA VELHA;31;143;7;260;38;3;5;159;0;9;264;371;
SC;420125;APIÚNA;7;34;0;97;37;19;2;89;0;0;5;23;
SC;421090;MODELO;17;40;0;98;0;0;0;234;0;0;46;46;
SC;421917;VARGEM BONITA;3;18;2;53;6;10;1;210;0;0;14;14;
SC;421600;SÃO CARLOS;5;23;7;105;5;1;1;148;0;0;30;47;
SC;421540;SALTO VELOSO;9;27;9;29;3;1;1;80;0;0;0;0;
SC;421420;QUILOMBO;3;40;6;119;64;24;12;223;0;0;22;17;
