MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
Competência: JUN/2018.
Estado: SC.
Tipo de Produção: Atendimento Individual.
"Tipo de Atendimento: Cons. agen. prog/cuid. cont., Consulta agendada, Dem. esp. esc. inicial/orient., Dem. esp. consulta no dia, Dem. esp. atendimento urgência."
"Probl/ Condição Avaliada: Asma, Diabetes, DPOC, Hipertensão arterial, Obesidade, Tabagismo, Usuário de álcool, Saúde mental, D.Transmissíveis - Hanseníase, D.Transmissíveis - Tuberculose, Rast. câncer de mama, Rast. câncer do colo do útero."


Uf;Ibge;Municipio;Asma;Diabetes;DPOC;Hipertensão arterial;Obesidade;Tabagismo;Usuário de álcool;Saúde mental;D.Transmissíveis - Hanseníase;D.Transmissíveis - Tuberculose;Rast. câncer de mama;Rast. câncer do colo do útero;
SC;421720;SÃO MIGUEL DO OESTE;38;71;26;340;132;24;9;652;1;1;45;49;
SC;420800;ITÁ;47;32;3;169;23;7;7;101;0;0;61;71;
SC;421260;PERITIBA;23;26;3;83;37;8;6;84;0;0;4;1;
SC;420270;BOTUVERÁ;8;19;8;34;3;2;0;57;0;0;2;45;
SC;420945;LAJEADO GRANDE;3;14;0;67;27;0;1;26;0;0;6;8;
SC;421820;TIMBÓ;38;146;25;374;41;20;7;701;0;0;81;135;
SC;420543;FORMOSA DO SUL;3;75;1;362;1;2;1;102;0;0;0;28;
SC;420127;ARABUTÃ;1;15;2;55;16;1;2;54;0;0;8;0;
SC;421590;SÃO BONIFÁCIO;18;13;3;17;7;0;0;143;0;0;0;0;
SC;421950;XANXERÊ;39;313;40;755;247;33;11;1.860;0;1;117;265;
SC;420210;BARRA VELHA;17;135;9;274;51;18;1;220;0;2;62;148;
SC;421917;VARGEM BONITA;1;17;1;82;12;16;1;148;0;0;10;12;
SC;421090;MODELO;3;74;1;63;65;0;2;233;2;0;34;40;
SC;420125;APIÚNA;5;30;0;73;70;30;10;101;0;0;5;1;
SC;421505;RIO RUFINO;0;2;1;5;0;2;2;7;0;0;0;0;
SC;421540;SALTO VELOSO;11;14;1;24;2;0;0;59;0;0;0;0;
SC;421600;SÃO CARLOS;19;42;14;157;2;2;2;122;0;0;0;50;
SC;421420;QUILOMBO;30;164;7;451;105;49;15;457;0;0;248;319;
SC;420100;ANITA GARIBALDI;7;6;0;28;1;0;0;23;0;0;0;0;
SC;421185;OURO VERDE;2;13;3;30;1;1;0;49;0;3;19;75;
SC;420580;GARUVA;0;29;1;46;1;2;0;10;0;0;0;19;
SC;420740;IMBUIA;6;21;1;48;0;7;0;132;0;0;0;0;
SC;420350;CAMPO ERÊ;10;59;21;147;61;13;1;324;0;0;11;99;
SC;421520;ROMELÂNDIA;2;10;1;22;1;1;4;38;0;0;0;0;
SC;421220;PAPANDUVA;16;65;8;270;26;9;3;191;0;0;0;0;
SC;420310;CAIBI;12;37;3;193;14;10;5;216;0;1;5;5;
SC;420519;ERMO;0;0;0;0;0;19;4;52;0;0;1;1;
SC;420005;ABDON BATISTA;0;1;3;5;0;0;0;17;0;0;1;23;
SC;421000;LUIZ ALVES;1;35;3;80;150;9;3;143;1;8;2;88;
SC;420340;CAMPO BELO DO SUL;4;19;8;38;2;0;0;22;0;0;1;0;
SC;420419;CHAPADÃO DO LAGEADO;0;0;0;0;0;0;0;42;0;0;0;0;
SC;421300;PINHEIRO PRETO;8;46;16;149;39;7;3;170;0;0;2;7;
SC;421835;TREVISO;3;15;1;62;31;1;3;90;0;0;30;64;
SC;420765;IPORÃ DO OESTE;15;31;6;86;35;1;1;99;0;0;0;3;
SC;421180;OURO;2;30;1;135;35;0;0;135;0;0;2;2;
SC;420670;HERVAL D'OESTE;9;67;10;155;3;7;5;140;0;0;0;22;
SC;420950;LAURENTINO;9;38;31;94;20;8;10;358;0;0;1;2;
SC;421125;MORRO GRANDE;1;11;3;21;0;4;0;211;0;0;4;1;
SC;420555;FREI ROGÉRIO;2;4;4;13;0;1;1;38;0;0;0;22;
SC;420915;JOSÉ BOITEUX;0;6;0;5;14;0;0;9;0;0;0;0;
SC;420960;LAURO MULLER;11;44;10;112;5;4;3;169;0;50;47;309;
SC;421635;SÃO JOÃO DO ITAPERIÚ;0;14;3;50;5;0;0;89;0;0;9;29;
SC;421050;MARAVILHA;63;109;51;381;87;11;1;189;0;1;132;31;
SC;421227;PASSOS MAIA;3;21;5;126;23;6;7;192;0;1;4;9;
SC;420150;ARMAZÉM;3;3;0;13;0;0;0;4;0;1;0;0;
SC;420285;BRAÇO DO TROMBUDO;1;24;6;84;59;8;1;153;0;0;1;0;
SC;420775;IRACEMINHA;15;8;4;15;1;2;3;136;0;0;0;3;
SC;421825;TIMBÓ GRANDE;0;0;0;0;0;0;0;63;0;0;0;0;
SC;421070;MATOS COSTA;2;13;2;15;2;0;0;10;0;0;0;6;
SC;421650;SÃO JOAQUIM;15;73;3;125;3;6;3;182;0;0;2;4;
SC;420710;ILHOTA;2;4;4;10;11;1;3;271;0;0;0;0;
SC;421690;SÃO LOURENÇO DO OESTE;12;121;13;547;52;26;4;721;0;0;63;196;
SC;420515;DOUTOR PEDRINHO;3;50;5;106;26;13;1;258;0;0;0;0;
SC;421880;TURVO;12;60;18;305;11;98;20;240;0;0;5;15;
SC;421575;SÃO BERNARDINO;0;13;0;87;17;0;0;26;0;0;0;0;
SC;421560;SANTA ROSA DE LIMA;0;8;0;22;22;3;0;19;0;0;0;2;
SC;420215;BELMONTE;0;12;7;29;4;8;0;12;0;0;1;29;
SC;420820;ITAJAÍ;156;1.244;138;2.740;777;248;77;2.242;0;43;785;1.093;
SC;421740;SCHROEDER;91;51;21;148;70;21;4;287;0;0;18;28;
SC;420370;CANELINHA;0;43;8;77;4;10;0;25;0;0;1;2;
SC;420455;CORREIA PINTO;5;55;5;117;22;6;6;139;0;0;0;6;
SC;420590;GASPAR;33;183;7;413;127;43;6;234;0;3;4;10;
SC;421140;NOVA ERECHIM;5;65;5;72;16;1;3;101;2;0;7;0;
SC;421550;SANTA CECÍLIA;11;47;1;113;0;1;1;114;0;0;2;12;
SC;421470;RIO DOS CEDROS;10;33;4;106;31;21;4;66;0;0;49;60;
SC;420195;BALNEÁRIO ARROIO DO SILVA;13;135;12;280;38;19;3;296;0;0;26;52;
SC;420630;GUABIRUBA;29;224;22;691;133;24;2;661;0;4;82;82;
SC;421885;UNIÃO DO OESTE;1;2;2;41;0;5;2;51;0;0;0;0;
SC;420620;GRAVATAL;3;14;3;23;5;4;0;212;0;0;4;12;
SC;421555;SANTA HELENA;0;1;15;11;2;9;3;67;0;0;0;0;
SC;420020;AGROLÂNDIA;6;41;4;164;1;2;0;240;0;0;0;0;
SC;421568;SANTA TEREZINHA DO PROGRESSO;5;19;6;37;9;8;8;99;0;0;14;1;
SC;420940;LAGUNA;62;117;13;172;73;17;2;103;0;0;19;38;
SC;420500;DIONÍSIO CERQUEIRA;7;33;5;82;29;46;0;132;0;1;17;17;
SC;420510;DONA EMMA;0;3;1;13;1;2;0;4;0;0;0;9;
SC;420300;CAÇADOR;54;276;46;949;88;30;8;480;1;1;67;97;
SC;421480;RIO DO SUL;23;80;5;116;7;11;0;85;1;0;17;172;
SC;420810;ITAIÓPOLIS;35;116;30;501;58;6;12;506;0;2;11;12;
SC;420315;CALMON;5;4;0;31;7;1;1;78;0;0;0;0;
SC;420517;ENTRE RIOS;1;17;2;13;2;0;1;20;0;0;0;8;
SC;421620;SÃO FRANCISCO DO SUL;11;187;9;404;7;3;2;440;0;0;0;18;
SC;421670;SÃO JOSÉ DO CEDRO;1;15;1;65;15;3;1;36;0;0;7;8;
