MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
Competência: JUL/2018.
Estado: SC.
Tipo de Produção: Atendimento Individual.
"Tipo de Atendimento: Cons. agen. prog/cuid. cont., Consulta agendada, Dem. esp. esc. inicial/orient., Dem. esp. consulta no dia, Dem. esp. atendimento urgência."
"Probl/ Condição Avaliada: Asma, Diabetes, DPOC, Hipertensão arterial, Obesidade, Tabagismo, Usuário de álcool, Saúde mental, D.Transmissíveis - Hanseníase, D.Transmissíveis - Tuberculose, Rast. câncer de mama, Rast. câncer do colo do útero."


Uf;Ibge;Municipio;Asma;Diabetes;DPOC;Hipertensão arterial;Obesidade;Tabagismo;Usuário de álcool;Saúde mental;D.Transmissíveis - Hanseníase;D.Transmissíveis - Tuberculose;Rast. câncer de mama;Rast. câncer do colo do útero;
SC;420950;LAURENTINO;6;55;27;87;23;7;7;322;0;0;2;0;
SC;420555;FREI ROGÉRIO;3;3;4;13;0;0;1;30;0;0;0;23;
SC;420670;HERVAL D'OESTE;5;71;18;208;10;6;11;171;0;3;1;12;
SC;421125;MORRO GRANDE;1;9;1;31;0;6;0;159;0;0;1;0;
SC;420915;JOSÉ BOITEUX;1;8;0;3;1;3;0;2;0;0;0;0;
SC;420960;LAURO MULLER;30;67;31;276;41;3;2;334;0;3;73;217;
SC;421050;MARAVILHA;58;127;44;358;93;17;10;170;0;0;68;28;
SC;421227;PASSOS MAIA;1;28;6;134;30;4;1;157;0;0;4;21;
SC;421635;SÃO JOÃO DO ITAPERIÚ;0;33;1;86;1;4;2;75;0;0;25;29;
SC;420150;ARMAZÉM;2;5;0;15;0;0;0;29;0;0;0;0;
SC;420285;BRAÇO DO TROMBUDO;0;27;5;88;52;12;0;168;0;0;0;0;
SC;420775;IRACEMINHA;5;8;11;17;4;7;7;132;0;0;0;1;
SC;421825;TIMBÓ GRANDE;0;0;0;0;0;0;0;45;0;0;0;0;
SC;421070;MATOS COSTA;0;18;5;14;0;1;0;14;0;0;1;5;
SC;420710;ILHOTA;21;32;3;112;27;4;0;167;1;0;0;8;
SC;421650;SÃO JOAQUIM;6;52;11;151;5;4;3;174;0;0;1;1;
SC;421575;SÃO BERNARDINO;0;22;0;107;27;0;0;34;0;0;0;0;
SC;421560;SANTA ROSA DE LIMA;0;12;0;15;18;8;0;31;0;0;2;2;
SC;420215;BELMONTE;0;20;8;35;2;0;1;27;1;0;0;57;
SC;420515;DOUTOR PEDRINHO;2;62;12;192;68;18;0;326;0;0;0;0;
SC;421690;SÃO LOURENÇO DO OESTE;9;101;14;393;63;15;4;514;0;0;47;153;
SC;421880;TURVO;3;39;9;130;9;38;9;99;0;0;4;7;
SC;420820;ITAJAÍ;187;1.362;134;3.030;781;281;77;2.548;2;45;849;1.144;
SC;420370;CANELINHA;1;53;11;86;15;15;1;36;0;0;1;1;
SC;420590;GASPAR;29;172;14;418;109;100;4;266;0;2;6;9;
SC;421550;SANTA CECÍLIA;10;47;4;129;3;1;2;131;0;0;2;8;
SC;420455;CORREIA PINTO;5;37;9;81;29;8;3;142;0;0;11;0;
SC;421740;SCHROEDER;76;63;30;254;157;37;5;308;0;0;11;26;
SC;421470;RIO DOS CEDROS;6;50;6;165;44;21;14;129;1;0;110;119;
SC;421140;NOVA ERECHIM;2;34;3;72;26;0;0;94;0;0;6;1;
SC;420620;GRAVATAL;2;25;3;32;2;0;1;324;0;0;1;10;
SC;420630;GUABIRUBA;20;178;20;431;103;16;6;508;1;1;41;41;
SC;420195;BALNEÁRIO ARROIO DO SILVA;10;64;12;157;24;17;7;215;0;0;8;27;
SC;421885;UNIÃO DO OESTE;1;1;2;52;0;1;2;65;0;0;0;0;
SC;421555;SANTA HELENA;0;2;0;6;0;2;3;34;0;0;0;0;
SC;420940;LAGUNA;58;137;16;240;59;8;8;168;0;3;42;47;
SC;420500;DIONÍSIO CERQUEIRA;5;17;3;50;37;16;0;128;0;1;13;12;
SC;421568;SANTA TEREZINHA DO PROGRESSO;6;20;4;35;5;6;7;61;0;0;5;1;
SC;420020;AGROLÂNDIA;6;20;2;85;8;0;0;59;0;0;0;0;
SC;420510;DONA EMMA;0;4;4;7;1;1;0;11;0;0;0;0;
SC;420300;CAÇADOR;35;299;45;856;87;44;6;525;4;1;40;65;
