MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
Competência: NOV/2019.
Estado: SC.
Tipo de Produção: Atendimento Individual.
"Tipo de Atendimento: Cons. agen. prog/cuid. cont., Consulta agendada, Dem. esp. esc. inicial/orient., Dem. esp. consulta no dia, Dem. esp. atendimento urgência."
"Probl/ Condição Avaliada: Asma, Diabetes, DPOC, Hipertensão arterial, Obesidade, Tabagismo, Usuário de álcool, Saúde mental, D.Transmissíveis - Hanseníase, D.Transmissíveis - Tuberculose, Rast. câncer de mama, Rast. câncer do colo do útero."


Uf;Ibge;Municipio;Asma;Diabetes;DPOC;Hipertensão arterial;Obesidade;Tabagismo;Usuário de álcool;Saúde mental;D.Transmissíveis - Hanseníase;D.Transmissíveis - Tuberculose;Rast. câncer de mama;Rast. câncer do colo do útero;
SC;420900;JOAÇABA;21;50;13;104;7;15;5;406;0;2;10;0;
SC;421270;PETROLÂNDIA;1;95;6;339;14;4;1;445;0;0;2;2;
SC;420110;ANITÁPOLIS;3;1;0;2;0;0;0;8;0;0;0;0;
SC;421630;SÃO JOÃO BATISTA;19;169;22;421;72;28;13;745;0;3;7;9;
SC;420213;BELA VISTA DO TOLDO;19;28;3;144;15;1;5;142;0;0;5;22;
SC;421210;PALMITOS;14;51;13;173;12;7;0;195;0;0;1;3;
SC;421120;MORRO DA FUMAÇA;14;141;18;338;109;45;9;995;0;1;86;164;
SC;421780;TAIÓ;13;53;3;147;21;2;1;154;0;0;21;69;
SC;420280;BRAÇO DO NORTE;9;79;7;152;18;3;2;1.669;0;2;38;373;
SC;421567;SANTA TEREZINHA;2;8;2;7;2;2;0;92;0;0;0;1;
SC;420910;JOINVILLE;300;4.600;133;6.133;885;191;93;7.753;1;19;2.284;4.648;
SC;420980;LEOBERTO LEAL;1;13;1;37;0;2;0;81;0;0;4;0;
SC;420450;CORUPÁ;7;67;8;227;41;14;7;283;0;4;56;85;
SC;420757;IOMERÊ;2;21;1;54;22;0;0;74;0;0;0;0;
SC;420287;BRUNÓPOLIS;1;7;0;32;0;1;2;91;0;0;0;23;
SC;421040;MARACAJÁ;2;0;0;18;0;0;0;160;0;0;0;106;
SC;421507;RIQUEZA;3;16;4;19;8;2;1;53;0;0;0;0;
SC;420253;BOM JESUS;0;0;0;7;0;0;0;193;0;0;0;22;
SC;421400;PRESIDENTE GETÚLIO;20;79;16;287;49;41;7;425;0;0;46;144;
SC;420670;HERVAL D'OESTE;10;112;11;192;20;8;8;299;0;1;4;11;
SC;420950;LAURENTINO;12;53;35;87;51;5;5;434;1;1;5;0;
SC;421125;MORRO GRANDE;8;22;2;51;63;0;2;122;0;0;12;0;
SC;420555;FREI ROGÉRIO;2;0;0;0;0;0;1;4;0;0;0;1;
SC;420915;JOSÉ BOITEUX;2;11;5;12;23;1;6;19;0;0;0;0;
SC;421050;MARAVILHA;14;68;51;152;78;5;3;146;6;5;10;22;
SC;421227;PASSOS MAIA;0;4;0;14;36;12;1;144;2;0;10;12;
SC;420960;LAURO MULLER;10;49;7;127;6;10;2;176;0;0;29;80;
SC;421635;SÃO JOÃO DO ITAPERIÚ;4;11;4;29;6;0;0;103;0;0;10;18;
SC;420150;ARMAZÉM;5;37;1;51;4;3;0;37;0;0;0;0;
SC;420775;IRACEMINHA;3;10;4;16;3;2;0;73;5;1;1;6;
SC;420285;BRAÇO DO TROMBUDO;9;55;16;153;90;20;1;163;0;0;0;0;
SC;421825;TIMBÓ GRANDE;6;11;2;37;7;8;1;82;0;0;0;0;
SC;421070;MATOS COSTA;1;12;0;23;0;3;1;11;0;0;0;0;
SC;421650;SÃO JOAQUIM;27;65;11;150;3;9;7;166;0;0;0;0;
SC;420710;ILHOTA;2;53;4;120;11;1;1;259;0;1;4;54;
SC;421690;SÃO LOURENÇO DO OESTE;18;108;8;314;80;10;12;808;0;10;64;218;
SC;421575;SÃO BERNARDINO;0;13;3;53;37;4;0;25;0;0;0;0;
SC;421880;TURVO;63;119;12;216;31;15;34;546;0;3;4;23;
SC;420215;BELMONTE;1;3;9;16;2;1;6;40;0;0;0;42;
SC;421560;SANTA ROSA DE LIMA;0;5;0;11;26;1;1;76;0;0;0;0;
SC;420515;DOUTOR PEDRINHO;2;29;4;16;15;1;0;9;0;0;0;0;
SC;420820;ITAJAÍ;101;1.091;72;2.366;671;200;99;2.520;1;26;737;1.111;
SC;420455;CORREIA PINTO;9;67;9;122;56;10;9;140;0;0;14;4;
SC;421470;RIO DOS CEDROS;3;30;0;120;60;8;4;209;0;0;53;70;
SC;421740;SCHROEDER;14;52;2;141;25;1;1;209;1;0;18;21;
SC;420590;GASPAR;30;156;12;332;76;11;3;328;0;1;9;6;
SC;421140;NOVA ERECHIM;7;20;3;23;23;1;2;86;0;2;0;0;
SC;420370;CANELINHA;1;44;5;104;36;0;1;42;0;4;0;0;
SC;421550;SANTA CECÍLIA;3;50;0;139;3;1;0;37;0;0;3;0;
SC;420620;GRAVATAL;6;33;6;55;7;7;7;342;0;0;1;13;
SC;420195;BALNEÁRIO ARROIO DO SILVA;22;134;14;246;188;5;6;888;0;0;20;43;
SC;421555;SANTA HELENA;3;14;6;18;17;1;1;59;0;0;2;0;
SC;420630;GUABIRUBA;5;29;4;91;16;3;0;148;0;0;0;0;
SC;421885;UNIÃO DO OESTE;4;18;0;33;1;0;2;87;0;0;1;0;
SC;420940;LAGUNA;6;57;3;100;9;15;7;456;0;0;4;3;
SC;420020;AGROLÂNDIA;14;26;16;180;4;0;0;228;0;0;0;0;
SC;421568;SANTA TEREZINHA DO PROGRESSO;2;42;21;35;29;17;8;79;0;0;13;1;
SC;420500;DIONÍSIO CERQUEIRA;6;20;2;90;62;31;3;180;0;0;20;26;
SC;420510;DONA EMMA;10;9;5;20;2;4;2;62;0;0;1;5;
SC;420810;ITAIÓPOLIS;26;102;22;280;43;1;8;334;4;0;0;1;
SC;421480;RIO DO SUL;1;42;1;43;7;7;0;40;0;0;0;0;
