MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
Competência: ABR/2020.
Estado: SC.
Tipo de Produção: Atendimento Individual.
"Tipo de Atendimento: Cons. agen. prog/cuid. cont., Consulta agendada, Dem. esp. esc. inicial/orient., Dem. esp. consulta no dia, Dem. esp. atendimento urgência."
"Probl/ Condição Avaliada: Asma, Diabetes, DPOC, Hipertensão arterial, Obesidade, Tabagismo, Usuário de álcool, Saúde mental, D.Transmissíveis - Hanseníase, D.Transmissíveis - Tuberculose, Rast. câncer de mama, Rast. câncer do colo do útero."


Uf;Ibge;Municipio;Asma;Diabetes;DPOC;Hipertensão arterial;Obesidade;Tabagismo;Usuário de álcool;Saúde mental;D.Transmissíveis - Hanseníase;D.Transmissíveis - Tuberculose;Rast. câncer de mama;Rast. câncer do colo do útero;
SC;421105;MONTE CARLO;1;4;1;8;1;1;0;12;0;0;0;0;
SC;420270;BOTUVERÁ;0;10;1;14;1;0;0;69;0;0;1;0;
SC;421150;NOVA TRENTO;7;14;16;17;1;1;1;231;0;2;1;0;
SC;420960;LAURO MULLER;9;141;4;114;3;4;1;389;0;1;2;23;
SC;421100;MONDAÍ;68;20;7;35;7;0;3;145;2;0;0;0;
SC;420850;ITUPORANGA;8;23;1;44;0;4;0;40;0;0;1;1;
SC;420170;ASCURRA;6;75;29;136;11;3;6;734;0;0;0;0;
SC;421790;TANGARÁ;2;22;1;77;7;3;3;147;0;2;0;1;
SC;421625;SÃO JOÃO DO OESTE;2;8;4;25;11;4;2;157;0;0;0;0;
SC;421610;SÃO DOMINGOS;4;37;3;202;20;9;1;53;0;0;0;0;
SC;421850;TREZE TÍLIAS;1;7;0;25;2;0;0;29;0;0;1;0;
SC;420517;ENTRE RIOS;0;6;3;11;1;0;0;9;0;0;0;1;
SC;421600;SÃO CARLOS;0;5;4;31;0;0;0;14;0;0;0;1;
SC;421320;POMERODE;6;29;2;82;5;0;1;156;0;0;1;41;
SC;420440;CORONEL FREITAS;2;4;2;23;0;0;2;563;0;0;0;7;
SC;421860;TROMBUDO CENTRAL;6;25;6;83;0;1;0;116;0;0;0;0;
SC;420710;ILHOTA;5;34;0;100;2;0;2;280;0;7;1;16;
