MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
Competência: DEZ/2021.
Estado: SC.
Tipo de Produção: Atendimento Individual.
"Tipo de Atendimento: Cons. agen. prog/cuid. cont., Consulta agendada, Dem. esp. esc. inicial/orient., Dem. esp. consulta no dia, Dem. esp. atendimento urgência."
"Probl/ Condição Avaliada: Asma, Diabetes, DPOC, Hipertensão arterial, Obesidade, Tabagismo, Usuário de álcool, Saúde mental, D.Transmissíveis - Hanseníase, D.Transmissíveis - Tuberculose, Rast. câncer de mama, Rast. câncer do colo do útero."


Uf;Ibge;Municipio;Asma;Diabetes;DPOC;Hipertensão arterial;Obesidade;Tabagismo;Usuário de álcool;Saúde mental;D.Transmissíveis - Hanseníase;D.Transmissíveis - Tuberculose;Rast. câncer de mama;Rast. câncer do colo do útero;
SC;421720;SÃO MIGUEL DO OESTE;25;177;35;547;72;11;9;476;1;1;11;1;
SC;420270;BOTUVERÁ;4;35;7;56;19;5;2;170;0;2;22;54;
SC;420800;ITÁ;6;74;13;189;28;13;19;173;0;0;3;2;
SC;421260;PERITIBA;1;38;1;357;17;0;0;47;0;0;2;0;
SC;421590;SÃO BONIFÁCIO;8;287;4;851;4;0;0;92;0;0;0;13;
SC;421820;TIMBÓ;8;82;3;180;10;4;3;479;0;0;46;73;
SC;420127;ARABUTÃ;1;6;0;21;25;2;1;70;0;0;6;5;
SC;420945;LAJEADO GRANDE;2;25;0;88;58;3;2;143;0;1;39;30;
SC;420543;FORMOSA DO SUL;0;28;0;60;10;3;2;188;0;0;1;22;
SC;420675;IBIAM;0;19;4;44;2;0;0;100;0;0;6;11;
SC;421090;MODELO;2;88;1;78;16;0;3;108;0;0;1;9;
SC;421505;RIO RUFINO;1;19;7;27;1;0;2;12;0;0;0;0;
SC;420210;BARRA VELHA;19;139;20;268;34;5;2;307;0;3;12;62;
SC;420125;APIÚNA;5;130;7;383;64;8;5;298;0;0;1;10;
SC;421950;XANXERÊ;29;252;32;576;135;26;14;1.711;0;0;49;133;
SC;421917;VARGEM BONITA;3;33;14;94;23;5;3;44;0;0;25;50;
SC;421540;SALTO VELOSO;2;35;8;116;23;0;1;72;0;0;1;13;
SC;421600;SÃO CARLOS;36;40;3;252;13;6;2;152;0;1;21;42;
SC;420100;ANITA GARIBALDI;2;11;6;9;3;2;3;101;0;0;0;0;
SC;421420;QUILOMBO;2;46;4;147;6;3;1;261;0;0;58;40;
SC;421185;OURO VERDE;1;5;7;18;0;0;7;48;0;10;10;41;
SC;420580;GARUVA;2;31;1;75;8;1;0;30;1;0;9;48;
SC;420310;CAIBI;4;109;4;235;21;6;7;148;0;0;0;0;
SC;421520;ROMELÂNDIA;1;191;0;329;28;4;9;68;0;0;11;30;
SC;420350;CAMPO ERÊ;7;42;14;84;45;3;1;84;0;1;0;0;
SC;421220;PAPANDUVA;2;21;7;67;16;1;1;87;0;1;1;1;
SC;420005;ABDON BATISTA;0;20;1;92;5;8;0;58;0;1;0;0;
SC;420740;IMBUIA;0;39;0;47;27;8;1;64;0;0;0;11;
SC;420519;ERMO;0;163;1;484;3;7;0;100;0;0;3;33;
SC;420419;CHAPADÃO DO LAGEADO;3;6;2;36;0;0;0;303;0;0;0;0;
SC;421000;LUIZ ALVES;2;243;9;799;26;6;4;215;0;0;7;115;
SC;420340;CAMPO BELO DO SUL;2;38;4;80;7;1;2;107;0;0;23;22;
SC;421180;OURO;1;32;3;61;17;2;0;146;0;0;4;31;
SC;421300;PINHEIRO PRETO;0;7;0;20;13;0;1;65;0;0;0;3;
SC;420765;IPORÃ DO OESTE;8;60;10;109;37;1;3;134;2;0;1;0;
SC;421835;TREVISO;0;67;0;117;15;0;0;16;0;0;13;44;
SC;420915;JOSÉ BOITEUX;3;59;1;25;40;1;0;20;0;7;0;0;
SC;420670;HERVAL D'OESTE;9;225;17;198;20;9;6;453;0;0;7;4;
SC;420555;FREI ROGÉRIO;3;27;4;61;10;0;0;111;0;0;0;1;
SC;420950;LAURENTINO;7;51;14;97;0;4;6;526;0;0;7;27;
SC;421125;MORRO GRANDE;3;71;3;120;57;0;0;144;0;0;1;17;
SC;421050;MARAVILHA;18;281;19;655;42;3;2;113;4;0;0;15;
SC;420960;LAURO MULLER;5;766;12;2.035;13;9;3;66;0;0;17;169;
SC;420150;ARMAZÉM;4;37;1;79;7;0;2;65;0;0;0;15;
SC;421635;SÃO JOÃO DO ITAPERIÚ;1;40;0;64;12;0;0;73;0;0;12;62;
SC;421227;PASSOS MAIA;2;35;1;43;21;2;7;61;0;0;0;7;
SC;420775;IRACEMINHA;3;45;3;159;49;2;3;76;0;0;0;2;
SC;420285;BRAÇO DO TROMBUDO;7;50;11;143;88;8;1;76;0;0;1;0;
SC;421825;TIMBÓ GRANDE;3;3;0;4;1;0;0;34;0;0;0;2;
SC;421070;MATOS COSTA;2;5;4;12;4;0;0;13;0;0;0;0;
SC;420710;ILHOTA;19;491;7;1.492;36;12;5;437;0;0;5;97;
SC;421650;SÃO JOAQUIM;13;57;26;96;9;0;2;246;1;0;15;55;
SC;421880;TURVO;6;158;7;98;12;3;0;278;0;2;2;29;
SC;421575;SÃO BERNARDINO;0;18;0;16;16;2;0;10;0;0;0;0;
SC;420215;BELMONTE;3;26;10;47;4;1;4;47;1;6;0;21;
SC;421560;SANTA ROSA DE LIMA;0;2;0;11;15;0;0;39;0;0;0;0;
SC;421690;SÃO LOURENÇO DO OESTE;10;57;5;61;25;3;1;181;0;1;0;2;
SC;420515;DOUTOR PEDRINHO;2;34;10;68;0;0;0;39;1;0;1;1;
