MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
Competência: JAN/2022.
Estado: SC.
Tipo de Produção: Atendimento Individual.
"Tipo de Atendimento: Cons. agen. prog/cuid. cont., Consulta agendada, Dem. esp. esc. inicial/orient., Dem. esp. consulta no dia, Dem. esp. atendimento urgência."
"Probl/ Condição Avaliada: Asma, Diabetes, DPOC, Hipertensão arterial, Obesidade, Tabagismo, Usuário de álcool, Saúde mental, D.Transmissíveis - Hanseníase, D.Transmissíveis - Tuberculose, Rast. câncer de mama, Rast. câncer do colo do útero."


Uf;Ibge;Municipio;Asma;Diabetes;DPOC;Hipertensão arterial;Obesidade;Tabagismo;Usuário de álcool;Saúde mental;D.Transmissíveis - Hanseníase;D.Transmissíveis - Tuberculose;Rast. câncer de mama;Rast. câncer do colo do útero;
SC;420950;LAURENTINO;8;40;12;54;2;3;3;332;1;0;19;13;
SC;421125;MORRO GRANDE;2;11;3;15;0;0;2;46;0;0;1;6;
SC;420670;HERVAL D'OESTE;12;114;8;120;29;3;5;296;0;0;4;0;
SC;420555;FREI ROGÉRIO;1;21;3;52;6;1;0;146;0;0;1;5;
SC;420915;JOSÉ BOITEUX;3;12;0;59;8;0;1;4;0;0;0;1;
SC;421635;SÃO JOÃO DO ITAPERIÚ;0;36;0;62;2;1;0;79;0;0;5;5;
SC;420960;LAURO MULLER;8;625;9;1.658;4;5;0;43;1;0;2;54;
SC;421227;PASSOS MAIA;0;11;0;9;14;1;3;53;0;0;0;7;
SC;421050;MARAVILHA;11;89;8;184;29;4;1;112;2;0;0;6;
SC;420150;ARMAZÉM;11;45;1;50;9;3;5;58;0;0;0;2;
SC;420285;BRAÇO DO TROMBUDO;8;49;19;154;83;16;2;123;0;0;0;0;
SC;420775;IRACEMINHA;0;51;4;111;25;4;2;12;0;0;0;1;
SC;421825;TIMBÓ GRANDE;7;6;4;10;3;3;1;18;0;0;0;0;
SC;421070;MATOS COSTA;0;9;5;10;0;2;1;9;0;0;0;0;
SC;420710;ILHOTA;6;459;5;1.338;18;1;3;266;0;2;2;28;
SC;421880;TURVO;2;22;0;13;4;1;0;244;0;0;4;29;
SC;421690;SÃO LOURENÇO DO OESTE;10;98;10;230;39;31;4;313;0;1;0;1;
SC;420515;DOUTOR PEDRINHO;3;23;2;48;2;1;1;23;1;0;0;0;
SC;421560;SANTA ROSA DE LIMA;0;2;0;5;12;0;0;23;0;0;0;0;
SC;420215;BELMONTE;4;19;7;35;3;0;0;82;0;3;0;0;
SC;421575;SÃO BERNARDINO;2;4;0;5;0;0;0;15;0;0;0;0;
SC;420820;ITAJAÍ;94;1.132;110;1.757;464;134;57;2.428;0;18;401;479;
SC;420590;GASPAR;21;191;22;552;55;12;6;455;0;2;3;1;
SC;421740;SCHROEDER;8;72;8;251;62;13;4;376;1;1;4;30;
SC;421470;RIO DOS CEDROS;1;28;2;66;0;0;3;16;0;0;16;12;
