MS/SAPS/Departamento de Saúde da Família ­ DESF 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
"Competência: JAN/2019, FEV/2019, MAR/2019, ABR/2019, MAI/2019, JUN/2019, JUL/2019, AGO/2019, SET/2019, OUT/2019, NOV/2019, DEZ/2019."
Estado: SC.
Tipo de Produção: Atendimento Individual.
"Probl/ Condição Avaliada: Hipertensão arterial, Diabetes, Obesidade, Tabagismo."


Uf;Ibge;Municipio;Hipertensão arterial;Diabetes;Obesidade;Tabagismo;
SC;420800;ITÁ;1.066;289;206;15;
SC;421720;SÃO MIGUEL DO OESTE;3.400;1.251;1.453;390;
SC;420270;BOTUVERÁ;540;285;140;29;
SC;421260;PERITIBA;565;211;186;38;
SC;421820;TIMBÓ;3.075;1.341;578;296;
SC;421590;SÃO BONIFÁCIO;582;147;187;1;
SC;420543;FORMOSA DO SUL;4.452;939;127;29;
SC;420127;ARABUTÃ;256;90;166;8;
SC;420945;LAJEADO GRANDE;132;49;18;8;
SC;420675;IBIAM;189;83;7;1;
SC;421950;XANXERÊ;7.374;3.354;1.512;493;
SC;420210;BARRA VELHA;3.599;1.733;320;118;
SC;420125;APIÚNA;221;232;270;33;
SC;421090;MODELO;857;838;352;21;
SC;421505;RIO RUFINO;78;25;1;5;
SC;421917;VARGEM BONITA;540;198;182;38;
SC;421600;SÃO CARLOS;1.506;331;36;9;
SC;421540;SALTO VELOSO;342;191;36;5;
SC;420580;GARUVA;358;170;31;43;
SC;420100;ANITA GARIBALDI;229;65;3;5;
SC;421420;QUILOMBO;3.967;1.160;357;161;
SC;421185;OURO VERDE;612;228;62;26;
SC;421220;PAPANDUVA;2.676;896;249;165;
SC;421520;ROMELÂNDIA;434;249;103;42;
SC;420740;IMBUIA;276;198;19;85;
SC;420310;CAIBI;2.145;652;242;147;
SC;420350;CAMPO ERÊ;888;279;451;115;
SC;420519;ERMO;442;149;40;72;
SC;420005;ABDON BATISTA;240;45;49;16;
SC;421000;LUIZ ALVES;1.620;825;988;266;
SC;420340;CAMPO BELO DO SUL;1.464;507;31;34;
SC;420419;CHAPADÃO DO LAGEADO;478;146;49;70;
SC;420765;IPORÃ DO OESTE;1.332;456;428;10;
SC;421300;PINHEIRO PRETO;502;189;154;13;
SC;421180;OURO;750;73;651;2;
SC;421835;TREVISO;144;82;190;7;
SC;420950;LAURENTINO;1.025;654;359;78;
SC;420670;HERVAL D'OESTE;3.145;1.993;161;63;
SC;420555;FREI ROGÉRIO;67;18;2;1;
SC;421125;MORRO GRANDE;449;206;372;2;
SC;420915;JOSÉ BOITEUX;130;62;49;15;
SC;420960;LAURO MULLER;2.299;823;121;102;
SC;420150;ARMAZÉM;613;425;40;56;
SC;421227;PASSOS MAIA;467;166;388;50;
SC;421635;SÃO JOÃO DO ITAPERIÚ;409;188;108;6;
SC;421050;MARAVILHA;1.864;851;923;50;
SC;420775;IRACEMINHA;377;193;52;44;
SC;420285;BRAÇO DO TROMBUDO;1.536;550;855;205;
SC;421070;MATOS COSTA;165;95;12;20;
SC;421825;TIMBÓ GRANDE;262;105;36;52;
SC;421650;SÃO JOAQUIM;2.074;846;154;108;
SC;420710;ILHOTA;1.301;668;92;18;
SC;421690;SÃO LOURENÇO DO OESTE;5.715;2.139;1.325;362;
SC;421575;SÃO BERNARDINO;662;165;269;14;
SC;421880;TURVO;1.599;730;132;81;
SC;420215;BELMONTE;101;48;39;57;
SC;421560;SANTA ROSA DE LIMA;116;52;327;18;
SC;420515;DOUTOR PEDRINHO;1.170;476;192;131;
SC;420820;ITAJAÍ;22.732;10.496;5.810;1.951;
SC;421470;RIO DOS CEDROS;1.406;407;790;190;
SC;420590;GASPAR;4.872;2.318;899;520;
SC;421140;NOVA ERECHIM;627;403;374;16;
SC;421550;SANTA CECÍLIA;831;411;16;4;
SC;421740;SCHROEDER;1.486;524;676;235;
SC;420455;CORREIA PINTO;1.213;568;411;74;
SC;420370;CANELINHA;1.116;558;193;32;
SC;420630;GUABIRUBA;937;452;170;67;
SC;420620;GRAVATAL;445;289;155;50;
SC;421885;UNIÃO DO OESTE;552;174;32;22;
SC;420195;BALNEÁRIO ARROIO DO SILVA;3.268;1.191;1.656;75;
SC;421555;SANTA HELENA;228;123;80;15;
SC;420940;LAGUNA;2.695;1.505;1.036;232;
SC;421568;SANTA TEREZINHA DO PROGRESSO;467;478;230;94;
SC;420020;AGROLÂNDIA;1.826;312;98;16;
SC;420500;DIONÍSIO CERQUEIRA;363;248;434;253;
SC;420510;DONA EMMA;166;79;77;17;
SC;420810;ITAIÓPOLIS;3.276;1.115;419;28;
SC;420300;CAÇADOR;6.481;2.733;843;336;
SC;421480;RIO DO SUL;676;575;82;170;
SC;420315;CALMON;433;109;154;24;
SC;420517;ENTRE RIOS;119;100;10;5;
SC;421620;SÃO FRANCISCO DO SUL;1.751;617;37;18;
SC;421875;TUNÁPOLIS;2.088;654;241;38;
SC;420895;JARDINÓPOLIS;145;163;12;23;
SC;421670;SÃO JOSÉ DO CEDRO;1.010;194;222;23;
SC;421535;SALTINHO;611;298;453;92;
SC;420260;BOM RETIRO;1.316;469;58;27;
SC;421860;TROMBUDO CENTRAL;1.274;477;184;47;
SC;421605;SÃO CRISTOVÃO DO SUL;930;484;42;16;
SC;421410;PRESIDENTE NEREU;276;109;138;9;
SC;420660;GUARUJÁ DO SUL;602;71;46;10;
SC;420870;JACINTO MACHADO;435;444;88;132;
SC;421940;WITMARSUM;732;315;137;50;
SC;421250;PENHA;2.221;1.029;404;136;
SC;421660;SÃO JOSÉ;18.750;10.977;3.264;1.302;
SC;421280;BALNEÁRIO PIÇARRAS;2.936;1.172;221;120;
SC;421580;SÃO BENTO DO SUL;12.488;5.554;1.925;289;
SC;420550;FRAIBURGO;8.244;4.261;2.473;1.011;
SC;421770;SOMBRIO;3.637;1.755;1.349;155;
SC;420325;CAPÃO ALTO;660;371;50;7;
SC;420665;GUATAMBÚ;357;95;153;13;
SC;421755;SERRA ALTA;320;138;137;9;
SC;420985;LINDÓIA DO SUL;305;92;36;37;
SC;421380;PRAIA GRANDE;661;261;170;135;
SC;420560;GALVÃO;126;46;391;22;
SC;421130;NAVEGANTES;5.159;2.882;318;66;
SC;421080;MELEIRO;1.510;589;525;48;
SC;421530;SALETE;4.487;1.502;2.525;986;
SC;421750;SEARA;105;111;62;8;
SC;421510;RODEIO;910;329;125;31;
SC;420030;AGRONÔMICA;352;133;26;76;
SC;421450;RIO DO CAMPO;565;238;8;13;
SC;421460;RIO DO OESTE;1.790;493;312;36;
SC;421935;VITOR MEIRELES;288;68;40;31;
SC;421890;URUBICI;917;339;256;34;
SC;421680;SÃO JOSÉ DO CERRITO;1.100;348;53;73;
SC;420840;ITAPIRANGA;1.062;141;21;12;
SC;420530;FAXINAL DOS GUEDES;4.948;1.228;538;101;
SC;420845;ITAPOÁ;3.150;1.701;1.082;136;
SC;420417;CERRO NEGRO;201;4;0;0;
SC;421390;PRESIDENTE CASTELLO BRANCO;541;101;185;90;
SC;421570;SANTO AMARO DA IMPERATRIZ;2.010;1.284;722;107;
SC;420480;CURITIBANOS;10.086;4.042;1.442;1.817;
SC;420170;ASCURRA;2.361;672;187;20;
SC;420205;BALNEÁRIO BARRA DO SUL;1.963;1.050;219;120;
SC;421225;PASSO DE TORRES;945;342;89;46;
SC;420140;ARARANGUÁ;4.677;2.786;995;183;
SC;421190;PALHOÇA;13.715;7.530;3.749;1.022;
SC;420207;BALNEÁRIO GAIVOTA;1.268;501;130;32;
SC;420430;CONCÓRDIA;3.157;1.247;228;85;
SC;421910;VARGEÃO;990;207;54;44;
SC;420070;ALFREDO WAGNER;490;240;112;46;
SC;421840;TREZE DE MAIO;292;207;5;22;
SC;420535;FLOR DO SERTÃO;246;174;217;37;
SC;421187;PAIAL;371;118;129;3;
SC;421335;PONTE ALTA DO NORTE;64;80;34;40;
SC;420920;LACERDÓPOLIS;38;32;2;3;
SC;421340;PONTE SERRADA;1.284;285;79;168;
SC;421900;URUSSANGA;5.447;2.470;708;556;
SC;420380;CANOINHAS;8.605;2.852;388;451;
