Ibge,ano,Asma,Diabetes,DPOC,Hipertensão arterial,Obesidade,Tabagismo,Usuário de álcool,Saúde mental,D.Transmissíveis - Hanseníase,D.Transmissíveis - Tuberculose,Rast. câncer de mama,Rast. câncer do colo do útero
420005,2016,1,29,23,134,2,1,2,4,0,0,1,0
420005,2017,1,51,25,227,0,2,9,383,0,0,0,0
420005,2018,9,40,29,266,97,3,65,410,0,0,2,113
420005,2019,1,45,18,240,49,16,3,298,0,0,4,142
420005,2020,7,149,76,610,14,25,3,402,0,0,120,84
420005,2021,7,132,50,448,20,37,15,644,0,2,14,41
420005,2022,0,27,4,101,4,0,2,20,0,0,0,5
420010,2016,60,116,52,1343,45,38,8,1322,10,2,34,120
420010,2017,78,127,79,967,7,26,3,669,1,2,24,36
420010,2018,88,187,79,1009,383,43,9,1055,1,3,1,26
420010,2019,84,368,128,1272,29,43,8,1094,24,10,117,277
420010,2020,82,276,91,742,119,23,3,1921,10,5,97,224
420010,2021,62,652,64,1636,353,21,9,2200,17,8,175,651
420010,2022,9,252,17,670,41,23,0,512,1,8,19,65
420020,2015,107,495,80,1848,196,25,36,1952,0,0,116,108
420020,2016,142,636,109,2040,158,82,56,2838,0,1,63,49
420020,2017,194,902,158,3255,336,185,37,4272,0,1,64,60
420020,2018,138,379,77,1977,95,37,15,2485,1,2,12,34
420020,2019,137,312,89,1826,98,16,14,2670,0,0,3,57
420020,2020,150,1037,104,3853,837,372,62,6396,7,0,175,220
420020,2021,115,1667,84,5721,1074,191,29,5717,1,0,530,592
420020,2022,8,148,5,482,115,24,4,623,1,0,36,43
420030,2016,3,49,21,69,4,68,48,313,0,0,0,0
420030,2017,1,42,7,57,2,111,10,390,0,0,0,1
420030,2018,6,2,2,2,2,135,24,1082,2,2,2,2
420030,2019,91,133,23,352,26,76,25,1634,7,3,2,2
420030,2020,80,350,22,959,52,17,20,1315,0,1,51,366
420030,2021,57,988,24,2224,240,68,30,2546,0,0,134,603
420030,2022,5,89,1,148,12,0,4,373,0,0,16,50
420040,2015,38,52,29,577,6,2,14,258,0,11,3,0
420040,2016,118,80,43,342,12,1,11,369,2,2,2,0
420040,2017,114,113,32,307,32,2,18,754,1,1,0,0
420040,2018,98,86,14,448,21,5,23,914,0,0,0,0
420040,2019,117,106,15,448,39,10,23,1570,0,0,0,0
