referencia,Alto Uruguai Catarinense,Alto Vale do Itajaí,Alto Vale do Rio do Peixe,Carbonífera,Extremo Oeste,Extremo Sul Catarinense,Foz do Rio Itajaí,Grande Florianópolis,Laguna,Meio Oeste,Médio Vale do Itajaí,Nordeste,Oeste,Planalto Norte,Serra Catarinense,Xanxerê
201305,,,,0.0,,,,,,,,,,,,
201307,,,,0.0,,,,,,,,,,,,
201308,,,,0.0,,,,0.003665548063582597,,,0.0,0.008537048656908821,,,,
201309,,0.08855733024445366,,0.0,,,0.0,,,,0.0013919046823673514,,,,,
201310,,0.0,,0.0,,,0.016227865191878278,,,,0.0,0.02987967029918087,,0.029974222168934715,,
201311,,,,0.0024296376924273053,,,0.029210157345380898,,0.005702245829519957,,,0.020275490560158448,,0.04359886860935958,,
201312,,,,0.0,,,0.029210157345380898,,,,,0.007469917574795218,,,,0.0
201401,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.007330526090913185,,0.005416208545693843,,0.0
201402,,,,0.004804239260723663,,,0.011056024032637383,,,,0.0,0.0031416540389627937,,0.0027081042728469215,,0.0
201403,,,,0.0,,,0.0379063681118996,0.0008995216343948288,,,0.004099788860873665,0.0062833080779255875,,0.03249725127416306,,
201404,,,,0.0,,,0.047382960139874496,0.009894737978343117,,,0.0,0.009424962116888381,0.0,0.01354052136423461,,
201405,,,,0.0,,,0.022112048065274767,0.027885170666239693,,,0.0,0.008377744103900783,,0.024372938455622294,0.0034447360987674733,
201406,,0.0,0.0,0.0,,,0.015794320046624833,0.05127273316050524,,,0.009566174008705219,0.030369322376640338,,0.005416208545693843,,0.0
201407,,0.0,0.0,0.0,,,0.11687796834502376,0.05397129806368973,0.0,0.0,0.038264696034820876,0.03455819442859073,,0.02708104272846922,0.0,0.0
201408,,0.0,0.06281428955293673,0.0,,,0.17373752051287317,0.1277320720840657,,0.026677764616747233,0.0819957772174733,0.01466105218182637,0.0,0.04062156409270382,0.0068894721975349465,0.0
201409,,0.0,0.0,0.0,,,0.07423330421913671,0.03688038701018798,,0.010671105846698893,0.05466385147831553,0.02513323231170235,,0.03249725127416306,0.01033420829630242,
201410,,0.0,0.0,0.0,,,0.10582194431238638,0.08365551199871908,0.0,0.0,0.0,0.02932210436365274,,0.02978914700131614,0.0,
201411,,,0.0,0.0,,,0.06475671219116182,0.021588519225475892,,0.0,0.0,0.026180450324689946,0.0,0.046037772638397666,0.0034447360987674733,0.0
201412,0.0,,0.0,0.007206358891085494,,,0.030009208088587182,0.021588519225475892,,,0.012299366582620996,0.028274886350665142,0.0,0.021664834182775372,0.0,0.0
201501,0.5051638976201168,0.0,0.0,0.004750954941943331,,0.0,0.030774059929404306,0.01501791991208333,0.0,0.005303492349712285,0.032217878774861465,0.037015482753869657,0.0,0.01076643563690196,0.0034466476181941636,0.0
201502,0.1403233048944769,0.0,0.0,0.0,,0.0,0.02615795093999366,0.035336282146078424,0.022396165776419077,0.0,0.05235405300914988,0.028789819919676402,0.0,0.04575735145683332,0.013786590472776654,0.0
201503,0.20346879209699148,0.013897526587705551,0.0034667452462255814,0.0,0.008669568082118148,0.010278654318576611,0.04923849588704689,0.04063672446799019,0.011198082888209539,0.053034923497122854,0.08054469693715366,0.0791720047791101,0.011436871329479108,0.08882309400444116,0.04825306665471829,0.05566576251973604
201504,0.1262909744050292,0.003474381646926388,0.02773396196980465,,0.0,0.020557308637153222,0.035390168918814954,0.04858738795085783,0.02519568649847146,0.06894540054625971,0.05235405300914988,0.04935397700515955,0.06576201014450488,0.17764618800888232,0.020679885709164982,0.03542366705801384
201505,0.3718567579703637,0.04864134305696943,0.17333726231127908,0.007126432412914996,0.09970003294435871,0.07195058023003628,0.12309623971761723,0.08392367009693626,0.05878993516310008,0.15910477049136856,0.12618669186820738,0.06888992623636853,0.16583463427744707,0.25839445528564703,0.11029272378221323,0.03542366705801384
201506,0.23153345307588685,0.1181289759954972,0.1664037718188279,0.5582372056783413,0.16038700951918575,0.10792587034505442,0.23696026145641316,0.18639888832056367,0.8566533409480297,0.10606984699424571,0.21210103526783797,0.08122842048765842,0.08863575280346309,0.46564834129600974,0.5032105522563478,0.13157362050119428
201507,0.03508082622361922,0.232783570344068,0.02426721672357907,0.7292715835883012,0.14738265739600853,0.11820452466363103,0.13386716069290872,0.20671725055455878,0.5934983930751055,0.11667683169367028,0.2040465655741226,0.09562333044749662,0.13438323812137953,0.4764147769329117,0.5928233903293961,0.24290514554066636
201508,0.29467894027840147,0.19456537222787773,0.031200707216030233,0.6698846468140096,0.13004352123177224,0.1747371234158024,0.19387657755524712,0.12191017340397056,0.5375079786340579,0.10606984699424571,0.19330727264916878,0.09973616186459325,0.09149497063583287,0.4441154700222058,0.2584985713645623,0.4858102910813327
201509,0.2806466097889538,0.2293091886971416,0.07973514066318838,0.6888884665817829,0.11270438506753593,0.3340562653537399,0.2523472914211153,0.26767233725654405,0.44512379480632913,0.2174431863382037,0.16645904033678421,0.12441315036717301,0.06576201014450488,0.3606755938362156,0.8720018474031234,0.6679891502368325
201510,0.11927480916030535,0.17024470069939301,0.11786933837166977,0.5724900705041713,0.21240441801189464,0.37003155546875804,0.2292667464740621,0.10512543938458331,0.3303434452021814,0.1431942934422317,0.15840457064306887,0.08842587546757752,0.7691295969074701,0.3472175492900882,0.4549574856016296,0.5617181490627909
201511,0.15435563538392458,0.4794646672758415,0.13866980984902325,0.624750574865548,0.2514174743814263,0.436842808539506,0.2292667464740621,0.37103096253382345,0.400331463253491,0.16971175519079312,0.18793762618669188,0.1830209980608,0.0371698318208071,0.37951685620079406,0.37223794276496963,0.3795392899072912
201512,0.1122586439155815,0.4725159039819888,0.15947028132637675,0.7126432412914996,0.1863957137655402,0.2466877036458387,0.08770607079880227,0.25618804555906854,0.25755590642881937,0.13258730874280714,0.09128398986210748,0.1583440095582202,0.19442681260114483,0.23147836619339213,0.3033049904010864,0.18217885915549978
201601,0.3776910487221453,0.2856670842683481,0.2307671112090819,0.7636224368719206,0.3760292179024485,0.1677818226190234,0.18303560042428252,0.3549992839256498,0.16370790070977084,0.35849474383441765,0.15435030395136778,0.20705251154696508,0.27699891461649784,0.2862746042320483,0.35174960945447775,0.32717571852821264
201602,0.34271965532194665,0.4749645497473739,0.34098423895073293,0.9139973167482371,0.37170704298402957,0.5389355514429237,0.1380268462215901,0.3845102268436745,0.3329652217825848,0.27414303940278995,0.2123965721040189,0.2676532466338817,0.5455182706222865,0.5217154002359758,0.3448525582887037,0.3825439170483717
201603,0.38468532740218503,0.6883544199237304,0.3582056651603659,1.2335439364854102,0.5964601387418148,0.43724959834048527,0.16653239054996197,0.3879821024810891,0.8046659526412465,0.5377421157516264,0.5263741134751774,0.3514842635041163,0.5963956222865413,0.6795677521022455,0.6138375537538926,0.5587154577943323
201604,0.8393134416047674,0.6504949268279252,0.7095227598368786,1.809197773511935,1.1151211289520886,1.0829554005409694,0.2865557350904751,0.9131032926400576,0.807440662822768,0.9225967672209278,0.5619934143870314,0.44743542739173425,0.7659867945007236,0.7223751695575051,0.7759182561495833,0.734886998540293
