referencia,Alto Uruguai Catarinense,Alto Vale do Itajaí,Alto Vale do Rio do Peixe,Carbonífera,Extremo Oeste,Extremo Sul Catarinense,Foz do Rio Itajaí,Grande Florianópolis,Laguna,Meio Oeste,Médio Vale do Itajaí,Nordeste,Oeste,Planalto Norte,Serra Catarinense,Xanxerê
201305,,,,0.0,,,,,,,,,,,,
201307,,,,0.0,,,,,,,,,,,,
201308,,,,0.0,,,,0.0,,,0.0,0.0,,,,
201309,,0.0,,0.0,,,0.0,,,,0.0,,,,,
201310,,0.0,,0.0,,,0.0,,,,0.0,0.0,,0.0,,
201311,,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,
201312,,,,0.0,,,0.0,,,,,0.0,,,,0.0
201401,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,,0.0
201402,,,,0.0,,,0.0,,,,0.0,0.0,,0.0,,0.0
201403,,,,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,,
201404,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,
201405,,,,0.0,,,0.0,0.0,,,0.0,0.0,,0.010832417091387686,0.0,
201406,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,,0.0
201407,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0013665962869578883,0.0,,0.005416208545693843,0.0,0.0
201408,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201409,,0.0,0.0,0.0,,,0.0031588640093249665,0.0017990432687896576,,0.0,0.0,0.0,,0.008124312818540765,0.0,
201410,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
201411,,,0.0,0.0,,,0.0015794320046624833,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201412,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
201501,0.0,0.0,0.0,0.0,,0.0,0.0015387029964702152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201502,0.014032330489447688,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.02121396939884914,0.0,0.0,0.0,0.0,0.0,0.0
201503,0.0,0.0,0.0,0.0,0.0,0.0,0.0015387029964702152,0.0008834070536519606,0.0,0.0,0.0,0.0030846235628224717,0.0,0.0,0.0,0.0
201504,0.0,0.0,0.0,,0.013004352123177222,0.0,0.0,0.0,0.0,0.0,0.0,0.0010282078542741572,0.0,0.0,0.0,0.0
201505,0.0,0.0,0.0,0.0,0.008669568082118148,0.0,0.007693514982351077,0.0008834070536519606,0.0,0.0,0.0026848232312384553,0.0010282078542741572,0.0,0.00538321781845098,0.006893295236388327,0.0
201506,0.0,0.003474381646926388,0.0,0.0023754774709716653,0.02167392020529537,0.0,0.006154811985880861,0.0008834070536519606,0.0027995207220523847,0.0,0.004027234846857683,0.0010282078542741572,0.0,0.01076643563690196,0.017233238090970816,0.0
201507,0.0,0.0,0.0,0.0,0.017339136164236296,0.005139327159288306,0.0,0.0026502211609558818,0.0,0.0,0.0053696464624769106,0.0,0.0,0.00269160890922549,0.02757318094555331,0.0
201508,0.0,0.0,0.0,0.0,0.026008704246354444,0.0,0.0015387029964702152,0.0,0.0027995207220523847,0.0,0.0013424116156192276,0.0,0.002859217832369777,0.00807482672767647,0.0379131238001358,0.0
201509,0.0,0.0,0.0,0.0,0.008669568082118148,0.0,0.0030774059929404305,0.0017668141073039212,0.0027995207220523847,0.0,0.0026848232312384553,0.0,0.002859217832369777,0.0,0.0,0.0
201510,0.0,0.003474381646926388,0.0,0.004750954941943331,0.008669568082118148,0.0,0.012309623971761722,0.0008834070536519606,0.0,0.0,0.0,0.0010282078542741572,0.025732960491327995,0.0,0.0,0.005060523865430549
201511,0.0,0.0,0.0034667452462255814,0.0023754774709716653,0.017339136164236296,0.0,0.007693514982351077,0.0035336282146078424,0.0027995207220523847,0.0,0.0,0.006169247125644943,0.005718435664739554,0.018841262364578427,0.0034466476181941636,0.0
201512,0.0,0.0,0.0034667452462255814,0.0023754774709716653,0.03034348828741352,0.0,0.0,0.0026502211609558818,0.0027995207220523847,0.0,0.0,0.0010282078542741572,0.005718435664739554,0.00807482672767647,0.0,0.0
201601,0.0,0.0,0.010332855725779785,0.011748037490337239,0.04754392410260843,0.0,0.0,0.01128359582159767,0.00554942036304308,0.0,0.00527693346842283,0.00202002450289722,0.016959117221418237,0.008026390772861167,0.0,0.005033472592741733
201602,0.0,0.02065063259771191,0.01377714096770638,0.014097644988404687,0.06051044885786527,0.0,0.003000583613512828,0.020831253824488007,0.00277471018152154,0.0,0.011873100303951369,0.00202002450289722,0.028265195369030393,0.01070185436381489,0.0,0.025167362963708664
201603,0.0,0.010325316298855955,0.00688857048385319,0.00939842999226979,0.06915479869470317,0.0,0.0,0.0017359378187073338,0.00277471018152154,0.0,0.0,0.009090110263037491,0.04239779305354559,0.013377317954768613,0.010345576748661111,0.010066945185483466
201604,0.0,0.0,0.00688857048385319,0.0023496074980674476,0.12102089771573055,0.0,0.0,0.005207813456122002,0.0,0.0,0.0013192333671057075,0.00505006125724305,0.019785636758321276,0.005350927181907445,0.027588204663096295,0.010066945185483466
201605,0.0,0.006883544199237303,0.00688857048385319,0.023496074980674478,0.15559829706308215,0.0,0.004500875420269242,0.004339844546768334,0.00277471018152154,0.0,0.0013192333671057075,0.00404004900579444,0.053703871201157743,0.0,0.03448525582887037,0.0
201606,0.0,0.0,0.003444285241926595,0.011748037490337239,0.10805437296047371,0.0,0.009001750840538484,0.013019533640305005,0.0,0.0,0.0,0.00505006125724305,0.025438675832127354,0.016052781545722334,0.037933781411757406,0.0
201607,0.0,0.0,0.030998567177339356,0.00939842999226979,0.07779914853154107,0.005084297655121922,0.010502042647294898,0.0008679689093536669,0.00832413054456462,0.0,0.003957700101317123,0.00101001225144861,0.019785636758321276,0.005350927181907445,0.017242627914435184,0.010066945185483466
201608,0.0,0.010325316298855955,0.017221426209632976,0.01879685998453958,0.19017569641043372,0.0,0.01500291806756414,0.008679689093536669,0.00277471018152154,0.01054396305395346,0.003957700101317123,0.0030300367543458304,0.011306078147612158,0.016052781545722334,0.024139679080209257,0.0
201609,0.0,0.010325316298855955,0.030998567177339356,0.023496074980674478,0.13398742247098738,0.0,0.02250437710134621,0.012151564730951338,0.0138735509076077,0.00527198152697673,0.00527693346842283,0.0030300367543458304,0.011306078147612158,0.005350927181907445,0.04483083257753148,0.010066945185483466
201610,0.0,0.010325316298855955,0.0,0.0023496074980674476,0.1253430726341495,0.0,0.01500291806756414,0.013019533640305005,0.00554942036304308,0.0,0.006596166835528538,0.0,0.031091714905933432,0.01070185436381489,0.037933781411757406,0.0
201611,0.0,0.0,0.00688857048385319,0.004699214996134895,0.06915479869470317,0.0,0.012002334454051312,0.0078117201841830025,0.01109884072608616,0.0,0.0,0.00505006125724305,0.014132597684515196,0.005350927181907445,0.020691153497322222,0.0
201612,0.020982836040119184,0.0,0.00688857048385319,0.004699214996134895,0.13830959738940635,0.0,0.00750145903378207,0.006075782365475669,0.00554942036304308,0.0,0.003957700101317123,0.00404004900579444,0.011306078147612158,0.013377317954768613,0.03448525582887037,0.0
