referencia,Alto Uruguai Catarinense,Alto Vale do Itajaí,Alto Vale do Rio do Peixe,Carbonífera,Extremo Oeste,Extremo Sul Catarinense,Foz do Rio Itajaí,Grande Florianópolis,Laguna,Meio Oeste,Médio Vale do Itajaí,Nordeste,Oeste,Planalto Norte,Serra Catarinense,Xanxerê
201305,,,,0.0,,,,,,,,,,,,
201307,,,,0.0,,,,,,,,,,,,
201308,,,,0.0,,,,0.0,,,0.0,0.0,,,,
201309,,0.0,,0.0,,,0.0,,,,0.0,,,,,
201310,,0.0,,0.0,,,0.0,,,,0.0,0.009604179739022422,,0.002724929288084974,,
201311,,,,0.0,,,0.0,,0.0,,,0.0,,0.002724929288084974,,
201312,,,,0.0,,,0.0,,,,,0.0,,,,0.0
201401,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.001047218012987598,,0.0,,0.0
201402,,,,0.0,,,0.0,,,,0.0,0.0031416540389627937,,0.0,,0.0
201403,,,,0.0,,,0.006317728018649933,0.00809569470955346,,,0.0,0.013613834168838773,,0.0027081042728469215,,
201404,,,,0.0,,,0.0,0.0404784735477673,,,0.0,0.028274886350665142,0.0,0.05416208545693844,,
201405,,,,0.0,,,0.0,0.041377995182162126,,,0.00819957772174733,0.009424962116888381,,0.0027081042728469215,0.0034447360987674733,
201406,,0.0,0.0,0.0,,,0.0031588640093249665,0.04407656008534661,,,0.04783087004352609,0.015708270194813967,,0.008124312818540765,,0.055968250737763306
201407,,0.0,0.0,0.0,,,0.3316807209791215,0.0809569470955346,0.0,0.0,0.22685498363500947,0.05864420872730548,,0.005416208545693843,0.0,0.03052813676605271
201408,,0.0,0.0,0.0024021196303618316,,,0.09476592027974899,0.15741628601909505,,0.0,0.17219113215669393,0.026180450324689946,0.0,0.0,0.0,0.0
201409,,0.0,0.0,0.0,,,0.05212125615386195,0.02878469230063452,,0.0,0.1653581507219045,0.06597473481821867,,0.005416208545693843,0.0034447360987674733,
201410,,0.0,0.0,0.0,,,0.14372831242428596,0.2248804085987072,0.0,0.0,0.0013665962869578883,0.05131368263639229,,0.0027081042728469215,0.0068894721975349465,
201411,,,0.0,0.0024021196303618316,,,0.06791557620048679,0.018889954322291406,,0.0,0.0027331925739157766,0.016755488207801567,0.0,0.0,0.0068894721975349465,0.0
201412,0.0,,0.0,0.026423315933980146,,,0.012635456037299866,0.019789475956686235,,,0.005466385147831553,0.0052360900649379895,0.0,0.0,0.0,0.0
201501,1.1857319263583297,0.0,0.0,0.0023754774709716653,,0.0,0.06154811985880861,0.01678473401938725,0.0,0.13258730874280714,0.08457193178401134,0.09253870688467415,0.005718435664739554,0.0,0.0,0.0
201502,0.7366973506960036,0.0,0.0,0.0,,0.0,0.004616108989410646,0.035336282146078424,0.005599041444104769,0.15380127814165628,0.1114201640963959,0.05243860056798202,0.002859217832369777,0.00269160890922549,0.0034466476181941636,0.0
201503,1.4172653794342165,0.0,0.013866980984902326,0.0,0.004334784041059074,0.0,0.024619247943523444,0.02826902571686274,0.0,0.09546286229482114,0.19062244941793033,0.08636945975902921,0.025732960491327995,0.01076643563690196,0.006893295236388327,0.0
201504,1.2699259092950157,0.0,0.017333726231127906,,0.0,0.010278654318576611,0.20003138954112798,0.011484291697475488,0.008398562166157154,0.3182095409827371,0.1704862751836419,0.05655143198507864,0.09149497063583287,0.013458044546127448,0.0,0.0
201505,0.8629883251010328,0.09728268611393887,0.1317363193565721,0.07126432412914996,0.17339136164236296,0.07195058023003628,0.30466319330110264,0.06537212197024508,0.033594248664628616,0.3606374797804354,0.3208363761329954,0.05655143198507864,0.08577653497109332,0.00807482672767647,0.03101982856374747,0.025302619327152748
201506,0.33677593174674453,0.11118021270164441,0.10400235738676744,0.8480454571368845,0.3554522913668441,0.12848317898220765,0.6339456345457287,0.10954247465284311,0.7082787426792533,0.23335366338734057,0.38258731045147987,0.05963605554790112,0.32881005072252434,0.0780566583675392,0.19990556185526148,0.45038662402331886
201507,0.2666142792995061,0.16677031905246661,0.07280165017073721,0.8219152049561962,0.5375132210913253,0.35975290115018144,0.5508556727363371,0.16254689787196075,0.7194768255674628,0.3659409721301477,0.2913033205893724,0.09562333044749662,0.36597988254333147,0.20187066819191174,0.49631725701995955,0.8653495809886239
201508,0.6384710372698699,0.1771934639932458,0.03466745246225581,0.8884285741434028,0.5071697328039116,0.5087933887695423,0.6308682285527882,0.11395950992110292,0.7166773048454105,0.2863885868844634,0.35842390137033375,0.1274977739299955,0.5060815563294505,0.2826189354686764,0.14820584758234903,1.437188777782276
201509,0.9541984732824428,0.21888604375636245,0.10746910263299302,1.1521065734212577,0.4031349158184939,1.110094666406274,0.5693201086939796,0.18993251653517151,0.5850998309089483,0.37654795682957226,0.4604471841573951,0.060664263402175275,0.5975765269652834,0.10766435636901958,0.6066099808021728,1.2600704424922067
201510,2.0557364167040864,0.31269434822337494,0.2426721672357907,2.7080443169076984,1.9766615227229378,1.9169690304145381,1.1678755743208933,0.22526879868124994,1.0526197914916966,0.8750762377025271,0.8000773229090596,0.10384899328168988,5.8099306353753875,0.4764147769329117,0.6617563426932794,1.6902149710538035
201511,0.9682308037718905,0.46904152233506236,0.2634726387131442,1.5369339237186674,2.817609626688398,1.2128812095920403,0.9155282828997781,0.2332194621641176,0.6802835354587294,0.519742250271804,0.4349413634606297,0.12441315036717301,0.7376782007514024,0.1884126236457843,0.41015106656510547,1.8167280676895672
201512,0.7437135159407274,0.17024470069939301,0.05200117869338372,0.6865129891108113,1.3611221888925493,0.7606204195746693,0.18926046856583648,0.1166097310820588,0.436725232640172,0.16971175519079312,0.1114201640963959,0.11413107182443145,0.7948625573987981,0.1803377969181078,0.2550519237463681,1.6143071130723452
201601,1.6156783750891772,0.19618100967826313,0.30309710128954037,1.0479249441380818,1.2707194260151708,0.2796363710317057,0.663128978586335,0.11717580276274504,0.14983434980216315,0.31631889161860377,0.17018110435663628,0.14645177646004845,0.8055580680173662,0.13912410672959358,0.23794826521920553,1.7063472089394474
201602,1.9234266370109252,0.33729366576262787,0.5648627796759617,1.4826023312805596,1.8758239145938236,0.9558479591629212,0.5581085521133861,0.2577867660780391,0.5466179057597433,0.5588300418595333,0.4696470786896319,0.20604249929551646,2.46472503617945,0.2033352329124829,0.5759037723421352,1.4043388533749435
201603,2.6158602263348585,0.7227721409199168,0.6337484845144935,2.6996990152794975,1.8542130400017287,1.0270281263346281,0.6601283949728222,0.3046570871831371,1.3596079889455546,0.9067808226399975,0.8377131881121244,0.14443175195715124,2.8434786541244574,0.5993038443736338,0.6138375537538926,1.4597070518951025
201604,1.6856211618895744,0.5369164475405096,1.0539512840295382,2.8618219326461514,2.0141335119832298,1.2456529255048707,0.8386631199768354,0.3758305377501378,1.012769216255362,0.6853575985069749,0.825840087808173,0.18382222976364704,1.650687409551375,0.8882539121966359,0.6276316560854407,1.2885689837418837
201605,2.5389231608544214,0.9912303646901717,0.833517028546236,2.3284610305848408,2.1394765846173796,1.2710744137804804,1.4987915149496576,0.5242532212496148,1.0876863911564436,0.5482860788055799,1.0144904593042892,0.21614262181000254,1.873982452966715,0.6340848710560323,0.6793595398287463,1.8774852770926664
