referencia,Alto Uruguai Catarinense,Alto Vale do Itajaí,Alto Vale do Rio do Peixe,Carbonífera,Extremo Oeste,Extremo Sul Catarinense,Foz do Rio Itajaí,Grande Florianópolis,Laguna,Meio Oeste,Médio Vale do Itajaí,Nordeste,Oeste,Planalto Norte,Serra Catarinense,Xanxerê
201305,,,,0.0,,,,,,,,,,,,
201307,,,,0.0,,,,,,,,,,,,
201308,,,,0.0,,,,0.0,,,0.002783809364734703,0.0042685243284544105,,,,
201309,,0.06376127777600663,,0.0,,,0.0,,,,0.005567618729469406,,,,,
201310,,0.02125375925866888,,0.0,,,0.11197226982396011,,,,0.029229998329714377,0.0021342621642272052,,0.002724929288084974,,
201311,,,,0.0,,,0.40894220283533256,,0.0,,,0.0,,0.002724929288084974,,
201312,,,,0.0,,,0.2580230565508646,,,,,0.0,,,,0.0
201401,,0.0,0.0,0.0,,,0.32536299296047155,0.0026985649031844865,,,0.00819957772174733,0.009424962116888381,,0.021664834182775372,,0.0
201402,,,,0.0,,,0.31430696892783416,,,,0.0819957772174733,0.0481720285974295,,0.0,,0.0
201403,,,,0.0,,,0.43908209729617037,0.027885170666239693,,,0.06832981434789441,0.12357172553253655,,0.01624862563708153,,
201404,,,,0.0,,,0.42012891324022056,0.16281341582546402,,,0.030065118313073545,0.0994857112338218,0.0,0.07853502391256073,,
201405,,,,0.0,,,0.23849423270403497,0.1745071970725968,,,0.010932770295663106,0.09215518514290862,,0.5687018972978536,0.0068894721975349465,
201406,,0.08769622029290539,0.0,0.0,,,0.29377435286722187,0.4218756465311747,,,0.05739704405223131,0.13509112367540013,,0.49558308193098666,,0.11702452426986873
201407,,0.46654389195825663,0.013958731011763719,0.019216957042894653,,,1.8589914694877427,0.9076173291043823,0.0,0.21342211693397786,0.35531503460905095,0.203160294519594,,0.8720095758567088,0.01722368049383737,0.09158441029815814
201408,,0.3051828466193107,0.10120079983528696,0.009608478521447326,,,1.6678801969235824,0.9750814516839944,,0.2187576698573273,0.7297624172355124,0.15498826592216447,0.0,0.5145398118409151,0.11023155516055914,0.03052813676605271
201409,,0.22099447513812157,0.048855558541173016,0.0024021196303618316,,,1.8131879413525307,0.8536460310406926,,0.01600665877004834,0.7352288023833439,0.17279097214295364,,0.5551613759336189,0.10678681906179167,
201410,,0.0947119179163378,0.0348968275294093,0.0,,,1.6741979249422323,1.002966622350234,0.0056498930757735415,0.026677764616747233,0.0027331925739157766,0.1005329292468094,,0.3249725127416306,0.17568154103714115,
201411,,,0.0,0.06485723001976945,,,1.231956963636737,0.3813971729834074,,0.03201331754009668,0.010932770295663106,0.10786345533772258,0.0028929493039563975,0.39538322383565055,0.13089997175316398,0.17808079780197417
201412,0.0,,0.055834924047054875,0.27384163786124877,,,0.6191373458276934,0.4317703845095178,,,0.21455561705238846,0.11728841745461097,0.225650045708599,0.5605775844793128,0.07922893027165188,0.020352091177368477
201501,6.812696452626852,0.006948763293852776,0.062401414432060466,0.11877387354858326,,0.005139327159288306,0.5954780596339733,0.3312776451194852,0.011198082888209539,0.6523295590146111,0.9356608960866016,0.28686999134248986,0.24589273358380082,0.37951685620079406,0.2067988570916498,0.025302619327152748
201502,5.1638976201167495,0.0,0.07280165017073721,0.004750954941943331,,0.0,0.7093420813727692,0.35071260029982837,0.22396165776419077,0.41897589562727056,0.7947076764465828,0.2642494185484584,0.2373150800866915,0.7159679698539803,0.4894239617835712,0.2682077648678191
201503,4.3430062864840595,0.2293091886971416,0.19067098854240697,0.0,0.46382189239332094,0.6681125307074798,1.029392304638574,0.43198604923580874,0.6606868904043628,0.5515632043700777,1.0014390652519438,0.7218019137004583,0.06862122797687464,0.7698001480384901,0.9202549140578417,1.0171652969515403
201504,1.8733161203412665,0.25362986022562634,0.7973514066318838,,0.45948710835226186,0.3546135739908931,0.8601349750268503,0.5053088346889214,0.4171285875858053,1.3470870568269204,0.5973731689505563,0.5675707355593348,0.5689843486415856,1.0820267815086468,0.7031161141116093,0.7287154366219991
201505,2.79243376740009,0.91376237314164,2.7803296874729164,0.10452100872275327,0.9406481369098191,1.2026025552734636,1.4633065496431747,0.8357030727547547,1.172999182539949,1.3205695950783591,1.1450771081232012,0.863694597590292,0.7119452402600744,1.5234506426216272,1.9266760185705374,1.6446702562649285
201506,2.5819488100583747,2.9428012549466507,3.078469778648316,6.1002261454552364,1.8943006259428155,2.4617377092990984,2.885068118381654,1.6572716326510781,9.34480017021086,1.633475643711384,2.4606404914300444,0.941838394515128,0.7777072504045793,3.2945293048919995,7.479225331481334,6.204202259017854
201507,2.294286035024697,5.534689963553736,0.6309476348130558,6.551566864939852,2.111039827995769,3.1041536042101368,1.7787406639195689,2.263288871456323,9.596757035195575,2.057755031688367,2.942566261437347,1.1166337297417348,1.1751385291039784,3.875916829284705,11.387723730513516,8.597830047366504
201508,4.813089357880557,5.336650209678932,2.2707181362777558,6.634708576423861,2.613874776758622,4.538025881651574,3.1204896768415966,1.7509127803381859,11.441641191028095,2.710084590702978,3.080834657846127,1.3274163398679368,1.8184625413871782,4.699549155507705,5.742114931911476,8.349864377960406
201509,6.742534800179614,5.2497906685057725,1.9552443188712278,7.468501168734916,2.4404834151162587,8.135554893153389,3.0943317259016028,2.5857324460392888,12.306693094142283,3.176791917477659,3.2929356931139653,1.6667249317784087,2.1215396316183748,5.100598882982303,10.384749273619015,9.77693210801182
201510,2.3644476874719356,4.791172291111489,1.9379105926401,6.786739134566047,4.421479721880256,9.733885639692051,3.2697438674992076,1.5494959721055388,10.428214689645133,1.9039537535467104,2.1908157566905797,1.1269158082844764,10.476174137802863,4.815288338604401,9.76090605472587,9.549208534067446
201511,3.6203412662775034,11.020738584050502,4.68357282765076,8.900914083730829,8.548194128968495,10.53048134938174,3.6698066465814634,3.638753653992426,11.231677136874167,4.3647742038132105,3.3748228016667383,2.3443139077450783,1.9271128190172298,5.4505080411816165,7.179366988698442,10.257681875227723
201512,3.3467108217332737,11.138867560046,2.2291171933230487,10.378461070675206,7.58587207185338,9.415247355816176,2.115716620146546,3.4249691470086514,9.294408797213917,4.1473310174750075,3.641962713174965,2.337116452765159,4.886403275519949,4.158535764753381,6.889848588770133,10.389255495728918
201601,7.71468938408382,9.784958079215826,4.088366582166868,13.832139341123066,7.464396084109524,5.613064611254601,3.5271860376843294,5.869205765049496,7.572184085372283,4.950390653831149,4.5592705167173255,2.546240885901946,5.7660998552822,5.650579104094262,8.959269464340522,9.880706699552022
201602,13.498957852476675,16.35874278948745,7.859858922076491,16.447252486472134,10.72331597259741,10.046572166520917,3.2151253418789953,6.671209037292284,10.796397316300311,5.988971014645565,6.046046521445458,3.7481554651257922,11.874208574529668,10.39952697803712,11.093906800147597,11.431016258116475
201603,15.149607620966052,23.469443947299585,7.219221867078144,19.450050869002332,10.485596352084368,12.156555693396514,3.28413876498979,5.776333091748653,15.543926436883666,8.677681593403697,9.623807413036136,4.670296650698373,9.796716714905934,10.436983468310471,9.748981822821653,15.971208536769518
201604,10.04378418453705,18.66128832413233,8.776038796428965,23.268163053361935,15.049813065934778,14.556344186614062,4.970466755784,7.6155592106690735,13.851353226155528,12.415516496030198,9.453626308679501,4.799578218883795,10.754906837916064,10.96672525931931,9.88002579497136,15.170886394523583
