referencia,Alto Uruguai Catarinense,Alto Vale do Itajaí,Alto Vale do Rio do Peixe,Carbonífera,Extremo Oeste,Extremo Sul Catarinense,Foz do Rio Itajaí,Grande Florianópolis,Laguna,Meio Oeste,Médio Vale do Itajaí,Nordeste,Oeste,Planalto Norte,Serra Catarinense,Xanxerê
201305,,,,0.0048592753848546106,,,,,,,,,,,,
201307,,,,0.0,,,,,,,,,,,,
201308,,,,0.0,,,,0.0,,,0.0,0.0021342621642272052,,,,
201309,,0.007084586419556293,,0.021866739231845747,,,0.0,,,,0.0,,,,,
201310,,0.0,,0.024296376924273052,,,0.004868359557563483,,,,0.0,0.010671310821136025,,0.010899717152339896,,
201311,,,,0.012148188462136526,,,0.004868359557563483,,0.0,,,0.008537048656908821,,0.008174787864254922,,
201312,,,,0.017007463846991137,,,0.012982292153502622,,,,,0.0032013932463408074,,,,0.0
201401,,0.0,0.0,0.024021196303618313,,,0.0031588640093249665,0.0,,,0.0,0.004188872051950392,,0.0,,0.0
201402,,,,0.03362967482506564,,,0.0,,,,0.004099788860873665,0.008377744103900783,,0.0,,0.0
201403,,,,0.01681483741253282,,,0.007897160023312417,0.0,,,0.0,0.008377744103900783,,0.005416208545693843,,
201404,,,,0.03122755519470381,,,0.006317728018649933,0.006296651440763802,,,0.0,0.01466105218182637,0.0,0.01895672990992845,,
201405,,,,0.019216957042894653,,,0.006317728018649933,0.009894737978343117,,,0.0,0.008377744103900783,,0.07041071109401996,0.0,
201406,,0.0,0.0,0.043238153346512966,,,0.0189531840559498,0.01529186778471209,,,0.0027331925739157766,0.02513323231170235,,0.07041071109401996,,0.0
201407,,0.0,0.01046904825882279,0.1297144600395389,,,0.21006445662011028,0.048574168257320756,0.0,0.0,0.025965329452199877,0.02932210436365274,,0.14623763073373378,0.0,0.0
201408,,0.0,0.006979365505881859,0.06485723001976945,,,0.13109285638698612,0.043177038450951784,,0.0,0.058763640339189196,0.008377744103900783,0.0,0.09478364954964226,0.03789209708644221,0.0
201409,,0.0,0.0034896827529409297,0.07926994780194044,,,0.1500460404429359,0.0341818221070035,,0.0,0.05603044776527342,0.011519398142863577,,0.05957829400263228,0.15156838834576883,
201410,,0.003507848811716215,0.02093809651764558,0.04083603371615113,,,0.1326722883916486,0.043177038450951784,0.0,0.0,0.0,0.020944360259751958,,0.04062156409270382,0.013778944395069893,
201411,,,0.03140714477646837,0.03122755519470381,,,0.07897160023312416,0.021588519225475892,,0.0,0.0,0.013613834168838773,0.0,0.04874587691124459,0.01033420829630242,0.0
201412,0.0,,0.0,0.05284663186796029,,,0.020532616060612283,0.02878469230063452,,,0.013665962869578883,0.010472180129875979,0.0,0.046037772638397666,0.0034447360987674733,0.0
201501,0.5191962281095645,0.0,0.006933490492451163,0.0688888466581783,,0.0,0.03692887191528517,0.021201769287647054,0.0,0.02121396939884914,0.0053696464624769106,0.027761612065402244,0.0,0.06998183163986273,0.03101982856374747,0.005060523865430549
201502,0.4770992366412214,0.0,0.006933490492451163,0.04988502689040497,,0.0,0.038467574911755384,0.035336282146078424,0.013997603610261923,0.04242793879769828,0.009396881309334594,0.028789819919676402,0.002859217832369777,0.024224480183029407,0.010339942854582491,0.005060523865430549
201503,0.3929052537045353,0.0,0.020800471477353488,0.03563216206457498,0.026008704246354444,0.02569663579644153,0.07385774383057034,0.04152013152164215,0.0,0.05833841584683514,0.012081704540573049,0.05963605554790112,0.002859217832369777,0.048448960366058814,0.024126533327359145,0.015181571596291648
201504,0.3788729232150876,0.0,0.031200707216030233,,0.004334784041059074,0.06681125307074798,0.08924477379527249,0.04505375973624999,0.008398562166157154,0.07955238524568428,0.02282099746552687,0.10179257757314156,0.06004357447976532,0.06998183163986273,0.024126533327359145,0.040484190923444394
201505,0.15435563538392458,0.020846289881558327,0.23227193149711395,0.0023754774709716653,0.08236089678012241,0.08222923454861289,0.17541214159760454,0.07597300661406861,0.044792331552838155,0.2651746174856143,0.08859916663086903,0.1274977739299955,0.1515385451155982,0.10766435636901958,0.3033049904010864,0.050605238654305496
201506,0.19645262685226764,0.12507773928934995,0.1282695741103465,0.42758594477489975,0.12137395314965407,0.09764721602647781,0.30466319330110264,0.15812986260370093,0.42272762902991007,0.15380127814165628,0.10068087117144207,0.3578163332874067,0.0629027923121351,0.40104972747459794,1.0202076949854724,0.13157362050119428
