regiao;lat;lon;CNES;cor
Alto Uruguai Catarinense;-27,2388;-52,0058;87;laranja
Alto Vale Do Itajaí;-27,214;-49,78;207;azul
Alto Vale Do Rio Do Peixe;-26,7925;-51,0113822;164;laranja
Carbonífera;-28,6691799957;-49,3649733817;273;verde
Extremo Oeste;-26,73;-53,5;200;verdinho
Extremo Sul Catarinense;-29,0105;-49,6354;128;verde
Foz Do Rio Itajaí;-26,917540004;-48,652109155;289;azul
Grande Florianópolis;-27,6031199944;-48,8274;811;cinza
Laguna;-28,3727;-48,8861;285;verde
Meio Oeste;-27,3986;-51,2258;137;laranja
Médio Vale Do Itajaí;-26,919;-49,3526;426;azul
Nordeste;-26,315430009;-48,846;435;roxo
Oeste;-27,1;-52,6826;242;verdinho
Planalto Norte;-26,2387635;-49,8306247;218;roxo
Serra Catarinense;-27,816;-50,3226419824;189;laranja
Xanxerê;-26,7525;-52,2544;144;verdinho
